"fips","Name","pov_perc_all","pov_perc_under_18","pov_perc_under_5","Alcohol_Abuse","Autism_Spectrum_Disorders","Depression","Drug_Abuse_Substance_Abuse","Schizophrenia_Other_Psychotic_Disorders","total_pop","total_jail_pop","total_jail_pretrial","unemployment","County","X2020.Total.Population","X2020.LCDC.Total","Ratio.of.LCDCs.to.100.000.Population","X2020.LCSW.Total","Ratio.of.LCSWs.to.100.000.Population","X2020.LPC.Total","Ratio.of.LPCs.to.100.000.Population","X2020.LBSW.Total","Ratio.of.LBSWs.to.100.000.Population","X2020.LMSW.Total","Ratio.of.LMSWs.to.100.000.Population","X2020.Primary.Care.Physician.Total","Ratio.of.Primary.Care.Physicians.to.100.000.Population","MSA_type","Central_Outlying","CBSA.Code","CBSA.Title","CBSA.level","RUCC_2013","State","NCHS_2013","UIC_2013","percent_comp"
48163,"Frio County",22.3,28.8,NA,2.2606,NA,13.8298,2.3936,4.7872,19816,348,48,3.3,"Frio County","20,023",0,0,"2",10,"3",15,0,0,"1",5,"10",49.9,"Micropolitan Statistical Area","Central",37770,"Pearsall, TX","Micropolitan Statistical Area-Central",6,"TX",6,4,0.914285714285714
48165,"Gaines County",11.1,19.8,NA,1.2295,NA,15.4372,1.776,1.571,20901,21,17,2.8,"Gaines County","22,121",1,4.5,"0",0,"3",13.6,1,4.5,"1",4.5,"8",36.2,NA,NA,NA,NA,NA,7,"TX",6,9,0.771428571428571
48167,"Galveston County",9.9,14.1,NA,2.7056,0.1521,18.4759,3.3869,3.0529,337890,1123,832,4.6,"Galveston County","355,196",79,22.2,"71",20,"191",53.8,42,11.8,"92",25.9,"245",69,"Metropolitan Statistical Area","Central",26420,"Houston-The Woodlands-Sugar Land, TX","Metropolitan Statistical Area-Central",1,"TX",2,1,0.942857142857143
48169,"Garza County",20.6,23.4,NA,NA,0,16.4659,NA,NA,6578,65.67,46.25,3.1,"Garza County","6,784",2,29.5,"0",0,"3",44.2,1,14.7,"1",14.7,"2",29.5,NA,NA,NA,NA,NA,6,"TX",6,6,0.714285714285714
48171,"Gillespie County",9.2,15.2,NA,1.7752,NA,17.0867,1.5375,1.4424,26804,10,4,2.4,"Gillespie County","26,191",5,19.1,"5",19.1,"14",53.5,2,7.6,"7",26.7,"30",114.5,"Micropolitan Statistical Area","Central",23240,"Fredericksburg, TX","Micropolitan Statistical Area-Central",7,"TX",5,8,0.914285714285714
48173,"Glasscock County",7.3,9.9,NA,NA,0,7.362,NA,0,1388,1,NA,2.8,"Glasscock County","1,365",0,0,"0",0,"0",0,0,0,"0",0,"0",0,NA,NA,NA,NA,NA,8,"TX",5,5,0.714285714285714
48175,"Goliad County",13.2,20.8,NA,2.193,NA,17.3684,3.4211,2.807,7584,30,14,4.5,"Goliad County","7,717",1,13,"1",13,"7",90.7,0,0,"2",25.9,"1",13,"Metropolitan Statistical Area","Outlying",47020,"Victoria, TX","Metropolitan Statistical Area-Outlying",3,"TX",4,2,0.914285714285714
48177,"Gonzales County",14.3,22.3,NA,1.4974,NA,13.5135,1.8992,2.1183,20826,93,65,2.7,"Gonzales County","21,347",3,14.1,"1",4.7,"5",23.4,1,4.7,"4",18.7,"9",42.2,NA,NA,NA,NA,NA,6,"TX",6,4,0.771428571428571
48179,"Gray County",14.2,18,NA,1.7705,NA,16.3773,4.4603,2.9282,21895,56,49,4.5,"Gray County","24,252",3,12.4,"1",4.1,"12",49.5,6,24.7,"4",16.5,"12",49.5,"Micropolitan Statistical Area","Central",37420,"Pampa, TX","Micropolitan Statistical Area-Central",6,"TX",5,5,0.914285714285714
48181,"Grayson County",13.6,20.8,NA,2.093,0.1763,19.5803,4.1474,2.8531,133991,379,277,3.3,"Grayson County","131,710",36,27.3,"21",15.9,"94",71.4,23,17.5,"46",34.9,"124",94.1,"Metropolitan Statistical Area","Central",43300,"Sherman-Denison, TX","Metropolitan Statistical Area-Central",3,"TX",4,2,0.942857142857143
48183,"Gregg County",18.1,26.3,NA,1.8127,0.1678,19.2414,3.2226,3.1286,123707,697,497,4.4,"Gregg County","125,730",49,39,"35",27.8,"106",84.3,32,25.5,"44",35,"150",119.3,"Metropolitan Statistical Area","Central",30980,"Longview, TX","Metropolitan Statistical Area-Central",3,"TX",4,2,0.942857142857143
48185,"Grimes County",15.3,20.6,NA,1.8556,NA,19.4405,2.5978,2.5121,28360,72,58,4.6,"Grimes County","28,930",3,10.4,"1",3.5,"9",31.1,2,6.9,"0",0,"14",48.4,NA,NA,NA,NA,NA,6,"TX",6,4,0.771428571428571
48187,"Guadalupe County",8.5,10.7,NA,1.6491,0.107,15.4592,2.864,2.1653,163694,364,250,3.1,"Guadalupe County","170,266",25,14.7,"47",27.6,"111",65.2,19,11.2,"80",47,"61",35.8,"Metropolitan Statistical Area","Central",41700,"San Antonio-New Braunfels, TX","Metropolitan Statistical Area-Central",1,"TX",2,1,0.942857142857143
48189,"Hale County",17.6,24.6,NA,1.9462,NA,19.4333,2.1179,2.5758,33830,95,56,4.3,"Hale County","33,202",11,33.1,"3",9,"37",111.4,7,21.1,"4",12,"19",57.2,"Micropolitan Statistical Area","Central",38380,"Plainview, TX","Micropolitan Statistical Area-Central",4,"TX",5,5,0.914285714285714
48191,"Hall County",18.6,36.7,NA,1.9784,0,14.7482,2.518,NA,3028,5,8,3.4,"Hall County","3,305",0,0,"0",0,"0",0,0,0,"0",0,"0",0,NA,NA,NA,NA,NA,9,"TX",6,12,0.771428571428571
48193,"Hamilton County",14.7,20.9,NA,2.4496,NA,23.5591,1.9452,3.17,8484,12,13,2.9,"Hamilton County","8,220",4,48.7,"1",12.2,"5",60.8,2,24.3,"1",12.2,"10",121.7,NA,NA,NA,NA,NA,6,"TX",6,6,0.771428571428571
48195,"Hansford County",10.7,15.4,NA,NA,0,14.9798,NA,2.0243,5463,3,3,2.2,"Hansford County","5,820",0,0,"0",0,"2",34.4,0,0,"0",0,"4",68.7,NA,NA,NA,NA,NA,7,"TX",6,9,0.742857142857143
48197,"Hardeman County",15,23.6,NA,2.2663,0,15.864,4.6742,1.8414,3922,8,3,3.3,"Hardeman County","3,870",0,0,"3",77.5,"0",0,2,51.7,"0",0,"3",77.5,NA,NA,NA,NA,NA,9,"TX",6,9,0.8
48199,"Hardin County",10.4,12.9,NA,1.4731,NA,20.0982,7.3993,2.743,57207,154,162,5.6,"Hardin County","56,486",8,14.2,"2",3.5,"26",46,18,31.9,"7",12.4,"10",17.7,"Metropolitan Statistical Area","Outlying",13140,"Beaumont-Port Arthur, TX","Metropolitan Statistical Area-Outlying",2,"TX",3,2,0.914285714285714
48201,"Harris County",15.9,23.3,NA,1.676,0.1996,16.064,2.7396,3.033,4698619,8673,6609,4.4,"Harris County","4,978,845",993,19.9,"1,722",34.6,"3,204",64.4,335,6.7,"1,771",35.6,"4,416",88.7,"Metropolitan Statistical Area","Central",26420,"Houston-The Woodlands-Sugar Land, TX","Metropolitan Statistical Area-Central",1,"TX",1,1,0.942857142857143
48203,"Harrison County",15.6,21.9,NA,1.5785,0.1797,21.5092,3.6191,2.5154,66726,250,238,4.8,"Harrison County","68,247",12,17.6,"6",8.8,"37",54.2,9,13.2,"11",16.1,"16",23.4,"Metropolitan Statistical Area","Outlying",30980,"Longview, TX","Metropolitan Statistical Area-Outlying",4,"TX",5,5,0.942857142857143
48205,"Hartley County",9.5,9.1,NA,NA,NA,15.8664,NA,NA,5619,15.1,9.15,1.5,"Hartley County","6,067",0,0,"1",16.5,"1",16.5,0,0,"1",16.5,"8",131.9,NA,NA,NA,NA,NA,7,"TX",6,11,0.685714285714286
48207,"Haskell County",20,25.6,NA,1.3613,0,14.0314,1.9895,2.0942,5813,377.77,330.55,2.7,"Haskell County","6,197",1,16.1,"1",16.1,"2",32.3,2,32.3,"1",16.1,"4",64.5,NA,NA,NA,NA,NA,6,"TX",6,6,0.8
48209,"Hays County",9.6,9.9,NA,1.8166,0.0927,17.2269,3.3428,1.6621,222631,356,219,2.8,"Hays County","234,896",72,30.7,"88",37.5,"214",91.1,27,11.5,"121",51.5,"150",63.9,"Metropolitan Statistical Area","Central",12420,"Austin-Round Rock-Georgetown, TX","Metropolitan Statistical Area-Central",1,"TX",2,1,0.942857142857143
48211,"Hemphill County",9.5,14.5,NA,NA,0,8.7336,NA,NA,3825,4.89,0.82,3.3,"Hemphill County","4,644",0,0,"0",0,"2",43.1,1,21.5,"0",0,"6",129.2,NA,NA,NA,NA,NA,7,"TX",6,11,0.714285714285714
48213,"Henderson County",14.2,22.6,NA,1.9655,0.1047,20.2836,3.4397,2.3039,82299,350,389,3.5,"Henderson County","81,179",10,12.3,"17",20.9,"28",34.5,18,22.2,"5",6.2,"43",53,"Micropolitan Statistical Area","Central",11980,"Athens, TX","Micropolitan Statistical Area-Central",4,"TX",5,3,0.942857142857143
48215,"Hidalgo County",23.9,32.5,NA,1.8611,0.1526,22.0324,3.2322,2.4125,865939,1055,936,7,"Hidalgo County","870,366",126,14.5,"84",9.7,"433",49.7,235,27,"249",28.6,"546",62.7,"Metropolitan Statistical Area","Central",32580,"McAllen-Edinburg-Mission, TX","Metropolitan Statistical Area-Central",2,"TX",3,2,0.942857142857143
48217,"Hill County",14,20.4,NA,1.7277,NA,19.2899,2.3353,2.5441,36354,139,100,3.4,"Hill County","35,673",9,25.2,"6",16.8,"15",42,3,8.4,"8",22.4,"12",33.6,NA,NA,NA,NA,NA,6,"TX",6,4,0.771428571428571
48219,"Hockley County",12.9,19.5,NA,1.5531,NA,17.6445,2.0708,2.3296,22980,75,58,3.7,"Hockley County","24,636",1,4.1,"1",4.1,"15",60.9,4,16.2,"3",12.2,"11",44.7,"Micropolitan Statistical Area","Central",30220,"Levelland, TX","Micropolitan Statistical Area-Central",6,"TX",5,5,0.914285714285714
48221,"Hood County",9.4,14.8,NA,1.4714,NA,19.3042,2.0951,1.7053,60537,142,98,3.6,"Hood County","58,643",9,15.3,"9",15.3,"53",90.4,17,29,"15",25.6,"42",71.6,"Micropolitan Statistical Area","Central",24180,"Granbury, TX","Micropolitan Statistical Area-Central",1,"TX",2,1,0.914285714285714
48223,"Hopkins County",12.7,18.9,NA,1.877,NA,19.934,5.1964,2.8676,36810,94,83,3,"Hopkins County","37,040",4,10.8,"7",18.9,"22",59.4,17,45.9,"17",45.9,"15",40.5,"Micropolitan Statistical Area","Central",44860,"Sulphur Springs, TX","Micropolitan Statistical Area-Central",6,"TX",5,3,0.914285714285714
48225,"Houston County",20,27.7,NA,1.4085,NA,15.4636,2.7582,2.8169,23169,92,76,3.4,"Houston County","22,620",3,13.3,"4",17.7,"11",48.6,4,17.7,"5",22.1,"5",22.1,NA,NA,NA,NA,NA,7,"TX",6,9,0.771428571428571
48227,"Howard County",15.7,17.8,NA,2.2838,NA,15.9598,2.5829,2.3382,36459,58,57,5.4,"Howard County","41,236",3,7.3,"9",21.8,"10",24.3,12,29.1,"11",26.7,"19",46.1,"Micropolitan Statistical Area","Central",13700,"Big Spring, TX","Micropolitan Statistical Area-Central",4,"TX",5,5,0.914285714285714
48229,"Hudspeth County",24.2,33.1,NA,NA,0,7.4074,NA,NA,4795,107,102,3.7,"Hudspeth County","3,400",0,0,"0",0,"0",0,0,0,"0",0,"1",29.4,"Metropolitan Statistical Area","Outlying",21340,"El Paso, TX","Metropolitan Statistical Area-Outlying",2,"TX",3,2,0.857142857142857
48231,"Hunt County",12.6,17.6,NA,2.2979,0.1117,21.3437,6.814,3.5347,96493,347,215,3.6,"Hunt County","95,324",13,13.6,"18",18.9,"74",77.6,13,13.6,"36",37.8,"51",53.5,"Metropolitan Statistical Area","Outlying",19100,"Dallas-Fort Worth-Arlington, TX","Metropolitan Statistical Area-Outlying",1,"TX",2,1,0.942857142857143
48233,"Hutchinson County",12.1,15.4,NA,1.5116,NA,15.1495,2.7545,1.9819,21198,60,49,4.6,"Hutchinson County","21,461",0,0,"0",0,"1",4.7,4,18.6,"2",9.3,"8",37.3,"Micropolitan Statistical Area","Central",14420,"Borger, TX","Micropolitan Statistical Area-Central",6,"TX",5,5,0.914285714285714
48235,"Irion County",6.9,7.4,NA,NA,0,9.6154,NA,0,1522,5.51,3.89,3.1,"Irion County","1,508",0,0,"0",0,"0",0,0,0,"0",0,"0",0,"Metropolitan Statistical Area","Outlying",41660,"San Angelo, TX","Metropolitan Statistical Area-Outlying",3,"TX",4,2,0.885714285714286
48237,"Jack County",13.6,18.4,NA,1.34,0,17.7554,2.7638,2.2613,8843,15,17,3.8,"Jack County","8,841",3,33.9,"0",0,"2",22.6,2,22.6,"0",0,"9",101.8,NA,NA,NA,NA,NA,6,"TX",6,4,0.8
48239,"Jackson County",12.7,17.5,NA,2.1708,NA,18.6686,1.3507,3.4732,14874,60,43,3.3,"Jackson County","15,899",0,0,"0",0,"7",44,0,0,"2",12.6,"9",56.6,NA,NA,NA,NA,NA,6,"TX",6,6,0.771428571428571
48241,"Jasper County",17.3,24.9,NA,1.739,NA,20.9457,7.1512,3.2044,35872,94,88,6.9,"Jasper County","35,525",1,2.8,"0",0,"17",47.9,9,25.3,"8",22.5,"15",42.2,NA,NA,NA,NA,NA,6,"TX",6,6,0.771428571428571
48243,"Jeff Davis County",22.2,59.7,NA,NA,0,7.6596,NA,NA,2252,NA,NA,2.9,"Jeff Davis County","2,113",0,0,"0",0,"1",47.3,0,0,"1",47.3,"1",47.3,NA,NA,NA,NA,NA,9,"TX",6,12,0.657142857142857
48245,"Jefferson County",18.3,25.9,NA,1.5366,0.3262,19.1962,6.8369,3.5697,255001,945,663,6.9,"Jefferson County","258,678",78,30.2,"29",11.2,"170",65.7,88,34,"70",27.1,"181",70,"Metropolitan Statistical Area","Central",13140,"Beaumont-Port Arthur, TX","Metropolitan Statistical Area-Central",2,"TX",3,2,0.942857142857143
48247,"Jim Hogg County",20.1,30.5,NA,2.4779,0,21.0619,NA,3.0088,5248,11,6,6.4,"Jim Hogg County","5,077",0,0,"0",0,"0",0,1,19.7,"2",39.4,"0",0,NA,NA,NA,NA,NA,6,"TX",6,6,0.771428571428571
48249,"Jim Wells County",20.1,32.9,NA,2.5824,0.3022,22.7747,4.6978,4.4505,40822,61,55,6.9,"Jim Wells County","42,890",15,35,"1",2.3,"25",58.3,13,30.3,"6",14,"22",51.3,"Micropolitan Statistical Area","Central",10860,"Alice, TX","Micropolitan Statistical Area-Central",4,"TX",5,5,0.942857142857143
48251,"Johnson County",9.5,11.7,NA,1.5045,0.2075,22.5673,4.2911,3.1127,171361,805,623,3.2,"Johnson County","171,701",27,15.7,"30",17.5,"108",62.9,22,12.8,"49",28.5,"64",37.3,"Metropolitan Statistical Area","Central",19100,"Dallas-Fort Worth-Arlington, TX","Metropolitan Statistical Area-Central",1,"TX",2,1,0.942857142857143
48253,"Jones County",19.5,21.2,NA,1.7008,NA,16.0052,2.0933,2.9655,19817,35,22,4,"Jones County","19,735",3,15.2,"0",0,"5",25.3,3,15.2,"2",10.1,"4",20.3,"Metropolitan Statistical Area","Outlying",10180,"Abilene, TX","Metropolitan Statistical Area-Outlying",3,"TX",4,2,0.914285714285714
48255,"Karnes County",17.5,22.9,NA,1.8519,NA,17.5381,2.342,4.4118,15650,10,NA,3.1,"Karnes County","15,393",3,19.5,"0",0,"5",32.5,1,6.5,"4",26,"5",32.5,NA,NA,NA,NA,NA,6,"TX",6,4,0.742857142857143
48257,"Kaufman County",9.2,12.7,NA,1.7758,0.1758,21.0989,4.0527,2.9099,128622,422,364,3.4,"Kaufman County","125,134",38,30.4,"29",23.2,"81",64.7,19,15.2,"47",37.6,"43",34.4,"Metropolitan Statistical Area","Outlying",19100,"Dallas-Fort Worth-Arlington, TX","Metropolitan Statistical Area-Outlying",1,"TX",2,1,0.942857142857143
48259,"Kendall County",6.7,8.6,NA,1.6324,NA,15.8857,1.7533,1.9045,45641,55,39,2.7,"Kendall County","46,278",19,41.1,"7",15.1,"60",129.7,5,10.8,"9",19.4,"48",103.7,"Metropolitan Statistical Area","Outlying",41700,"San Antonio-New Braunfels, TX","Metropolitan Statistical Area-Outlying",1,"TX",2,1,0.914285714285714
48261,"Kenedy County",10.8,13.8,NA,NA,0,NA,NA,NA,442,1.23,0.99,4.3,"Kenedy County","476",0,0,"0",0,"0",0,0,0,"0",0,"0",0,"Micropolitan Statistical Area","Outlying",28780,"Kingsville, TX","Micropolitan Statistical Area-Outlying",9,"TX",5,8,0.828571428571429
48263,"Kent County",11.3,12.3,NA,NA,0,28.6822,NA,NA,726,5.33,3.75,2.3,"Kent County","795",0,0,"0",0,"0",0,1,125.8,"0",0,"0",0,NA,NA,NA,NA,NA,9,"TX",6,10,0.714285714285714
48265,"Kerr County",11.6,16.5,NA,1.99,NA,16.7868,1.8099,2.0587,52405,135,204,3.3,"Kerr County","52,267",58,111,"24",45.9,"72",137.8,5,9.6,"26",49.7,"53",101.4,"Micropolitan Statistical Area","Central",28500,"Kerrville, TX","Micropolitan Statistical Area-Central",4,"TX",5,3,0.914285714285714
48267,"Kimble County",15.7,32.7,NA,1.2422,NA,13.2505,1.5528,1.4493,4362,11,14,2.9,"Kimble County","4,344",0,0,"0",0,"0",0,0,0,"2",46,"2",46,NA,NA,NA,NA,NA,7,"TX",6,9,0.771428571428571
48269,"King County",12.4,21.3,NA,0,0,NA,NA,NA,277,43.98,25.12,0.6,"King County","309",0,0,"0",0,"0",0,0,0,"0",0,"0",0,NA,NA,NA,NA,NA,9,"TX",6,12,0.714285714285714
48271,"Kinney County",17.9,22.7,NA,2.0408,0,9.1837,NA,NA,3767,28,28,4.7,"Kinney County","3,462",0,0,"0",0,"0",0,0,0,"0",0,"0",0,NA,NA,NA,NA,NA,7,"TX",6,10,0.742857142857143
48273,"Kleberg County",20.8,30,NA,1.5103,NA,19.1304,3.524,4.2105,31129,91.77,74.01,4.9,"Kleberg County","30,987",14,45.2,"1",3.2,"24",77.5,8,25.8,"7",22.6,"18",58.1,"Micropolitan Statistical Area","Central",28780,"Kingsville, TX","Micropolitan Statistical Area-Central",4,"TX",5,5,0.914285714285714
48275,"Knox County",16.3,24.6,NA,2.4077,0,21.3483,3.3708,5.939,3653,8,4,3.4,"Knox County","3,937",0,0,"0",0,"1",25.4,1,25.4,"0",0,"1",25.4,NA,NA,NA,NA,NA,9,"TX",6,12,0.8
48277,"Lamar County",19.6,26.9,NA,1.754,0.2793,18.8694,6.2786,3.2845,49728,152,82,4,"Lamar County","50,014",5,10,"12",24,"31",62,19,38,"18",36,"37",74,"Micropolitan Statistical Area","Central",37580,"Paris, TX","Micropolitan Statistical Area-Central",5,"TX",5,8,0.942857142857143
48279,"Lamb County",17.6,24.5,NA,1.0465,NA,14.9419,1.9186,2.1512,13158,43,39,3.6,"Lamb County","12,776",1,7.8,"0",0,"5",39.1,3,23.5,"2",15.7,"5",39.1,NA,NA,NA,NA,NA,6,"TX",6,6,0.771428571428571
48281,"Lampasas County",10,18,NA,1.7651,NA,17.4985,2.4954,2.1911,21229,27,26,3.3,"Lampasas County","21,037",8,38,"5",23.8,"15",71.3,1,4.8,"7",33.3,"8",38,"Metropolitan Statistical Area","Outlying",28660,"Killeen-Temple, TX","Metropolitan Statistical Area-Outlying",2,"TX",3,2,0.914285714285714
48283,"La Salle County",24,28.3,NA,2.1605,0,11.7284,1.6975,3.7037,7531,NA,NA,2.7,"La Salle County","8,309",1,12,"0",0,"2",24.1,0,0,"0",0,"1",12,NA,NA,NA,NA,NA,6,"TX",6,6,0.742857142857143
48285,"Lavaca County",10.6,14.5,NA,1.6277,0,20.0407,2.8484,3.586,20110,29,22,3.2,"Lavaca County","20,735",1,4.8,"1",4.8,"6",28.9,4,19.3,"1",4.8,"13",62.7,NA,NA,NA,NA,NA,6,"TX",6,6,0.8
48287,"Lee County",10.6,15,NA,2.2546,NA,17.595,3.3599,3.1388,17144,44,20,3.2,"Lee County","17,595",4,22.7,"0",0,"11",62.5,2,11.4,"3",17.1,"4",22.7,NA,NA,NA,NA,NA,6,"TX",6,4,0.771428571428571
48289,"Leon County",13.8,17.9,NA,1.5291,NA,16.1774,2.8135,1.6514,17270,30,19,5.1,"Leon County","17,707",2,11.3,"0",0,"2",11.3,3,16.9,"1",5.6,"4",22.6,NA,NA,NA,NA,NA,8,"TX",6,7,0.771428571428571
48291,"Liberty County",14.4,20,NA,1.8196,NA,18.3333,5.948,3.1346,86323,225,122,6.5,"Liberty County","85,284",11,12.9,"4",4.7,"20",23.5,3,3.5,"4",4.7,"31",36.3,"Metropolitan Statistical Area","Outlying",26420,"Houston-The Woodlands-Sugar Land, TX","Metropolitan Statistical Area-Outlying",1,"TX",2,1,0.914285714285714
48293,"Limestone County",16.8,19.7,NA,1.5054,0.6726,23.3824,3.0109,5.8296,23519,839,132,4.5,"Limestone County","23,544",3,12.7,"0",0,"10",42.5,8,34,"3",12.7,"18",76.5,NA,NA,NA,NA,NA,6,"TX",6,6,0.8
48295,"Lipscomb County",11.3,14.8,NA,NA,0,11.4471,NA,NA,3355,3,2,2.4,"Lipscomb County","3,651",0,0,"0",0,"2",54.8,0,0,"0",0,"0",0,NA,NA,NA,NA,NA,9,"TX",6,12,0.714285714285714
48297,"Live Oak County",17,23.8,NA,2.0492,NA,17.459,4.0164,3.6066,12166,46.27,41.54,4.6,"Live Oak County","12,030",1,8.3,"0",0,"6",49.9,1,8.3,"0",0,"1",8.3,NA,NA,NA,NA,NA,8,"TX",6,7,0.771428571428571
48299,"Llano County",10.9,20.3,NA,2.6365,NA,17.535,3.892,1.2346,21646,40,35,3.6,"Llano County","19,452",3,15.4,"1",5.1,"4",20.6,2,10.3,"2",10.3,"12",61.7,NA,NA,NA,NA,NA,7,"TX",6,11,0.771428571428571
48301,"Loving County",3.9,11.3,NA,0,0,0,NA,0,152,1.77,1.38,0.8,"Loving County","92",0,0,"0",0,"0",0,0,0,"0",0,"0",0,"Micropolitan Statistical Area","Outlying",37780,"Pecos, TX","Micropolitan Statistical Area-Outlying",9,"TX",6,12,0.914285714285714
48303,"Lubbock County",15.8,18.4,NA,1.6691,0.2669,19.3921,2.5176,2.8602,307412,1211,1174,3,"Lubbock County","317,210",108,34,"66",20.8,"379",119.5,160,50.4,"123",38.8,"274",86.4,"Metropolitan Statistical Area","Central",31180,"Lubbock, TX","Metropolitan Statistical Area-Central",2,"TX",3,2,0.942857142857143
48305,"Lynn County",14.4,19.6,NA,NA,0,17.4515,1.8006,1.5235,5877,15,44,2.9,"Lynn County","5,588",1,17.9,"0",0,"5",89.5,0,0,"0",0,"6",107.4,"Metropolitan Statistical Area","Outlying",31180,"Lubbock, TX","Metropolitan Statistical Area-Outlying",2,"TX",3,2,0.914285714285714
48307,"McCulloch County",16.2,27.1,NA,1.3816,NA,15.6579,1.5132,2.0395,7987,21,16,4.4,"McCulloch County","8,660",2,23.1,"0",0,"7",80.8,1,11.5,"2",23.1,"5",57.7,NA,NA,NA,NA,NA,7,"TX",6,9,0.771428571428571
48309,"McLennan County",17,20.7,NA,1.9419,0.1402,21.3053,2.7195,3.8073,254607,1562,1241,3.4,"McLennan County","253,066",63,24.9,"173",68.4,"220",86.9,80,31.6,"196",77.5,"222",87.7,"Metropolitan Statistical Area","Central",47380,"Waco, TX","Metropolitan Statistical Area-Central",2,"TX",3,2,0.942857142857143
48311,"McMullen County",9.7,12,NA,0,0,13.6364,NA,NA,749,2.73,2.46,2,"McMullen County","783",0,0,"0",0,"1",127.7,0,0,"0",0,"0",0,NA,NA,NA,NA,NA,9,"TX",6,12,0.742857142857143
48313,"Madison County",17.4,21.6,NA,1.8385,NA,21.7334,3.086,2.6921,14422,36,17,4,"Madison County","14,527",1,6.9,"0",0,"2",13.8,3,20.7,"1",6.9,"8",55.1,NA,NA,NA,NA,NA,6,"TX",6,6,0.771428571428571
48315,"Marion County",20,31.1,NA,1.5419,0,20.9251,4.13,3.1388,9928,33,28,5.1,"Marion County","10,294",1,9.7,"0",0,"4",38.9,3,29.1,"0",0,"1",9.7,NA,NA,NA,NA,NA,8,"TX",6,7,0.8
48317,"Martin County",11.1,17,NA,2.439,0,18.1185,2.439,3.1359,5753,7,4,3.2,"Martin County","6,044",0,0,"0",0,"0",0,0,0,"1",16.5,"3",49.6,"Metropolitan Statistical Area","Outlying",33260,"Midland, TX","Metropolitan Statistical Area-Outlying",3,"TX",4,2,0.942857142857143
48319,"Mason County",9.8,20.1,NA,1.7957,0,15.8249,NA,NA,4280,2,0,3,"Mason County","3,899",1,25.6,"0",0,"2",51.3,0,0,"1",25.6,"2",51.3,NA,NA,NA,NA,NA,9,"TX",6,10,0.742857142857143
48321,"Matagorda County",17.3,24,NA,2.1938,NA,16.7733,3.0393,3.1993,36552,120,119,6.2,"Matagorda County","37,064",4,10.8,"2",5.4,"11",29.7,4,10.8,"3",8.1,"19",51.3,"Micropolitan Statistical Area","Central",13060,"Bay City, TX","Micropolitan Statistical Area-Central",4,"TX",5,3,0.914285714285714
48323,"Maverick County",20,27.9,NA,2.0872,NA,14.1819,1.025,2.3668,58485,102,18,10.2,"Maverick County","59,938",3,5,"2",3.3,"12",20,9,15,"7",11.7,"28",46.7,"Micropolitan Statistical Area","Central",20580,"Eagle Pass, TX","Micropolitan Statistical Area-Central",5,"TX",5,8,0.914285714285714
48325,"Medina County",11.2,17.2,NA,1.7091,NA,16.4944,3.5771,3.4579,50921,78,63,3.4,"Medina County","50,594",14,27.7,"7",13.8,"24",47.4,4,7.9,"10",19.8,"20",39.5,"Metropolitan Statistical Area","Outlying",41700,"San Antonio-New Braunfels, TX","Metropolitan Statistical Area-Outlying",1,"TX",2,1,0.914285714285714
48327,"Menard County",19.1,34.5,NA,NA,0,14.2268,2.6804,NA,2139,5,2,3.7,"Menard County","2,188",0,0,"0",0,"1",45.7,0,0,"0",0,"1",45.7,NA,NA,NA,NA,NA,9,"TX",6,12,0.742857142857143
48329,"Midland County",9.7,13.1,NA,1.8557,0.1354,17.3622,2.0787,2.23,172578,464,399,3.5,"Midland County","187,364",49,26.2,"19",10.1,"129",68.8,36,19.2,"22",11.7,"106",56.6,"Metropolitan Statistical Area","Central",33260,"Midland, TX","Metropolitan Statistical Area-Central",3,"TX",4,2,0.942857142857143
48331,"Milam County",17.4,24,NA,2.2762,NA,18.056,5.9982,2.1839,25131,105,67,3.9,"Milam County","24,635",2,8.1,"1",4.1,"8",32.5,2,8.1,"1",4.1,"6",24.4,NA,NA,NA,NA,NA,6,"TX",6,4,0.771428571428571
48333,"Mills County",14.4,22.8,NA,1.8059,0,16.14,3.4989,2.2573,4921,4,4,3.7,"Mills County","4,870",1,20.5,"2",41.1,"7",143.7,3,61.6,"0",0,"2",41.1,NA,NA,NA,NA,NA,9,"TX",6,10,0.8
