Fiscal Year,County,Adult Disabled 18-64: Population,Adult Disabled 18-64: % of Population,65 and older: Population,65 and older: % of Population,Total Population
2017,Zapata,1288,9,1795,13,14353
2017,Zavala,1596,13,1673,14,12368
2017,Unknown,,,,,
2017,Out of State,,,,,
2017,None Specified,,,,,
2016,Anderson,4952,8,8305,14,58382
2016,Andrews,879,5,1949,10,18708
2016,Angelina,8425,9,13661,15,89219
2016,Aransas,2222,9,6931,27,25763
2016,Archer,605,7,1613,19,8582
2016,Armstrong,65,3,522,27,1951
2016,Atascosa,2872,6,7052,14,48782
2016,Austin,1943,7,5428,18,29603
2016,Bailey,422,6,1037,14,7464
2016,Bandera,2070,10,5315,25,20912
2016,Bastrop,6152,8,11970,15,81259
2016,Baylor,306,8,880,24,3650
2016,Bee,3450,10,3955,12,33379
2016,Bell,29639,9,33036,10,337015
2016,Bexar,152471,8,225050,12,1935868
2016,Blanco,857,8,2678,24,11094
2016,Borden,57,9,192,29,667
2016,Bosque,1275,7,4329,24,17909
2016,Bowie,6564,7,15192,16,92597
2016,Brazoria,17423,5,39701,11,349762
2016,Brazos,9509,4,18240,9,213043
2016,Brewster,983,11,1821,20,9214
2016,Briscoe,48,3,423,27,1587
2016,Brooks,654,9,1410,20,7203
2016,Brown,2489,6,7908,20,38686
2016,Burleson,1131,6,3570,20,17507
2016,Burnet,3876,8,9908,22,45948
2016,Caldwell,2924,7,5838,14,41678
2016,Calhoun,2048,9,3755,17,22287
2016,Callahan,1068,8,2836,21,13447
2016,Cameron,22887,5,54214,13,420614
2016,Camp,888,7,2285,18,12957
2016,Carson,275,5,1029,17,5906
2016,Cass,2617,9,6787,22,30472
2016,Castro,348,5,1144,15,7458
2016,Chambers,2195,6,4559,12,39083
2016,Cherokee,3324,6,8548,17,51738
2016,Childress,481,7,1120,16,7079
2016,Clay,889,9,2143,21,10169
2016,Cochran,228,7,516,16,3219
2016,Coke,175,5,896,28,3257
2016,Coleman,617,7,2129,25,8656
2016,Collin,30446,3,94106,10,930091
2016,Collingsworth,178,6,599,19,3127
2016,Colorado,1309,6,4526,21,21097
2016,Comal,9310,7,23270,18,129967
2016,Comanche,971,7,3193,24,13437
2016,Concho,140,3,741,18,4119
2016,Cooke,2804,7,7146,18,39215
2016,Coryell,8635,11,6627,9,77013
2016,Cottle,132,9,428,28,1507
2016,Crane,238,4,680,13,5376
2016,Crockett,190,5,735,19,3922
2016,Crosby,579,9,1256,20,6274
2016,Culberson,329,14,486,21,2306
2016,Dallam,538,8,662,9,6993
2016,Dallas,130704,5,257288,10,2587530
2016,Dawson,1476,11,2052,15,13666
2016,Deaf Smith,872,5,2208,12,18578
2016,Delta,525,10,1240,23,5323
2016,Denton,32484,4,74061,9,795196
2016,DeWitt,1609,8,4173,20,21030
2016,Dickens,278,12,530,24,2234
2016,Dimmit,1327,12,1697,15,10955
2016,Donley,189,5,841,24,3509
2016,Duval,1601,14,2169,18,11836
2016,Eastland,2280,12,4039,22,18379
2016,Ector,10711,7,16290,10,163571
2016,Edwards,270,13,542,27,2002
2016,Ellis,9570,6,20708,12,166103
2016,El Paso,59660,7,101400,12,847036
2016,Erath,2293,6,5690,14,39847
2016,Falls,1951,11,3086,18,17092
2016,Fannin,2626,8,6729,20,34293
2016,Fayette,1722,7,6066,24,25383
2016,Fisher,266,7,970,24,3969
2016,Floyd,301,5,1202,20,5980
2016,Foard,93,7,356,28,1265
2016,Fort Bend,27220,4,74362,10,727754
2016,Franklin,845,8,2127,20,10763
2016,Freestone,1928,10,3706,19,19863
2016,Frio,1697,9,2457,13,18850
2016,Gaines,1097,5,2006,10,20194
2016,Galveston,23129,7,43929,13,328728
2016,Garza,580,9,749,11,6659
2016,Gillespie,1075,4,7243,28,25547
2016,Glasscock,13,1,257,20,1306
2016,Goliad,517,7,1781,24,7521
2016,Gonzales,1711,8,3522,17,20796
2016,Gray,2346,10,3664,16,23434
2016,Grayson,11155,9,22364,18,127493
2016,Gregg,8727,7,18301,15,124421
2016,Grimes,1615,6,4739,17,27998
2016,Guadalupe,9693,6,20635,13,153319
2016,Hale,1823,5,4549,13,34444
2016,Hall,252,8,802,24,3303
2016,Hamilton,939,11,2057,25,8305
2016,Hansford,301,5,889,16,5723
2016,Hardeman,544,14,770,20,3942
2016,Hardin,4481,8,9088,16,55906
2016,Harris,224803,5,440314,10,4616802
2016,Harrison,3723,6,10612,16,67300
2016,Hartley,321,5,877,15,6040
2016,Haskell,745,12,1319,22,6020
2016,Hays,9241,5,22422,11,199621
2016,Hemphill,354,8,589,14,4246
2016,Henderson,6269,8,17361,22,80279
2016,Hidalgo,52338,6,89375,11,831924
2016,Hill,2926,8,7303,21,35526
2016,Hockley,1873,8,3425,14,23905
2016,Hood,2672,5,13544,24,55618
2016,Hopkins,3118,9,6725,18,36353
2016,Houston,1661,7,4734,21,23026
2016,Howard,3871,10,4786,12,38504
2016,Hudspeth,501,15,657,19,3406
2016,Hunt,7630,8,14712,16,91327
2016,Hutchinson,2157,10,3437,16,21682
2016,Irion,78,5,367,24,1531
2016,Jack,841,9,1458,16,8905
2016,Jackson,1428,9,2658,18,15151
2016,Jasper,3003,8,6828,19,35696
2016,Jeff Davis,144,7,689,32,2183
2016,Jefferson,18845,7,35205,14,255994
2016,Jim Hogg,527,10,879,17,5170
2016,Jim Wells,3008,7,6326,15,42090
2016,Johnson,8576,5,22831,14,163278
2016,Jones,2765,14,2991,15,19862
2016,Karnes,1066,7,2280,15,15097
2016,Kaufman,7959,7,14830,13,115860
2016,Kendall,2342,6,8058,20,40398
2016,Kenedy,32,7,93,21,451
2016,Kent,103,13,238,30,786
2016,Kerr,4282,8,13485,26,51140
2016,Kimble,371,8,1237,28,4440
2016,King,17,6,56,19,298
2016,Kinney,376,11,863,25,3477
2016,Kleberg,2320,7,4186,13,31129
2016,Knox,340,9,831,22,3838
2016,Lamar,4022,8,9643,19,50006
2016,Lamb,1054,8,2340,18,13239
2016,Lampasas,1980,10,3945,19,20436
2016,La Salle,765,10,1232,16,7695
2016,Lavaca,1280,6,4373,22,19978
2016,Lee,961,6,3114,18,17201
2016,Leon,1499,9,4050,23,17322
2016,Liberty,7670,9,11181,14,81282
2016,Limestone,1924,8,4307,18,23506
2016,Lipscomb,235,7,614,18,3496
2016,Live Oak,1117,9,2460,21,11812
2016,Llano,2020,10,6533,34,19372
2016,Loving,11,13,23,26,88
2016,Lubbock,22409,7,37301,12,299742
2016,Lynn,639,11,971,17,5689
2016,Madison,1257,9,2178,15,14139
2016,Marion,981,9,2574,25,10433
2016,Martin,200,4,794,14,5494
2016,Mason,233,6,1141,29,3919
2016,Matagorda,3000,8,5999,16,36991
2016,Maverick,4682,8,7078,12,57684
2016,McCulloch,749,9,1953,23,8486
2016,McLennan,16564,7,33978,14,245791
2016,McMullen,75,10,238,32,754
2016,Medina,3868,8,7829,16,48680
2016,Menard,185,8,683,31,2200
2016,Midland,8071,5,16246,10,163923
2016,Milam,2196,9,5003,20,24642
2016,Mills,526,11,1290,26,4874
2016,Mitchell,667,7,1521,16,9678
2016,Montague,1778,9,4299,22,19392
2016,Montgomery,27221,5,69225,13,545011
2016,Moore,968,4,2323,11,21713
2016,Morris,1141,9,2754,22,12649
2016,Motley,87,7,371,31,1186
2016,Nacogdoches,6124,10,9263,15,63583
2016,Navarro,4057,8,8191,17,47930
2016,Newton,1574,11,2658,19,13982
2016,Nolan,1473,10,2744,18,15430
2016,Nueces,25545,7,48889,13,365409
2016,Ochiltree,527,5,1169,11,10849
2016,Oldham,97,5,380,18,2152
2016,Orange,7332,9,13975,17,84466
2016,Palo Pinto,2560,9,5327,19,27978
2016,Panola,1823,7,4332,18,24321
2016,Parker,7952,6,20198,16,127694
2016,Parmer,639,7,1295,14,9590
2016,Pecos,892,5,2118,13,16219
2016,Polk,5492,12,9133,19,47485
2016,Potter,7882,6,15594,13,122365
2016,Presidio,502,8,1413,22,6552
2016,Rains,909,8,2649,24,11187
2016,Randall,7040,5,18776,14,130159
2016,Reagan,132,3,501,13,3831
2016,Real,273,8,1062,32,3370
2016,Red River,1097,9,3015,24,12741
2016,Reeves,743,5,1911,13,14869
2016,Refugio,777,10,1705,23,7505
2016,Roberts,62,6,204,21,964
2016,Robertson,1296,8,3166,19,16744
2016,Rockwall,4012,4,11185,12,92123
2016,Runnels,618,6,2338,22,10774
2016,Rusk,4119,8,8490,16,52986
2016,Sabine,1302,13,3028,29,10283
2016,San Augustine,1074,13,2255,26,8584
2016,San Jacinto,3220,12,5755,21,27842
2016,San Patricio,4670,7,10332,15,68542
2016,San Saba,424,7,1347,23,5925
2016,Schleicher,150,5,588,18,3292
2016,Scurry,1293,7,2594,15,17743
2016,Shackelford,303,9,655,19,3375
2016,Shelby,2446,10,4364,17,25582
2016,Sherman,242,8,506,16,3143
2016,Smith,15106,7,35603,16,225242
2016,Somervell,367,4,1725,19,8917
2016,Starr,5746,9,7545,12,63426
2016,Stephens,978,10,1874,20,9582
2016,Sterling,128,11,269,22,1209
2016,Stonewall,80,5,443,29,1506
2016,Sutton,160,4,792,19,4255
2016,Swisher,655,9,1415,19,7541
2016,Tarrant,110605,6,217220,11,2006888
2016,Taylor,10803,8,19426,14,136337
2016,Terrell,37,4,296,29,1031
2016,Terry,910,7,1970,15,12877
2016,Throckmorton,117,8,414,27,1551
2016,Titus,2125,6,4585,14,32805
2016,Tom Green,7952,7,17627,15,117499
2016,Travis,55604,5,104641,9,1184722
2016,Trinity,2043,14,3687,26,14404
2016,Tyler,3028,14,4540,21,21473
2016,Upshur,3636,9,7318,18,40659
2016,Upton,121,3,646,17,3711
2016,Uvalde,1789,7,4454,16,27181
2016,Val Verde,3520,7,6902,14,48564
2016,Van Zandt,4971,9,11144,21,54304
2016,Victoria,6536,7,13939,15,93015
2016,Walker,2848,4,8806,12,71016
2016,Waller,2859,6,5917,12,47553
2016,Ward,797,7,1747,14,12217
2016,Washington,2096,6,7001,20,34545
2016,Webb,15229,6,24226,9,265200
2016,Wharton,2801,7,6944,17,41709
2016,Wheeler,380,7,1164,21,5643
2016,Wichita,12439,9,19652,15,132433
2016,Wilbarger,1560,12,2399,18,13212
2016,Willacy,1906,9,2917,13,22184
2016,Williamson,26920,5,58279,11,517263
2016,Wilson,2872,6,7604,16,48091
2016,Winkler,407,5,1015,12,8278
2016,Wise,5918,9,9780,15,63146
2016,Wood,4261,10,11810,27,44009
2016,Yoakum,236,3,1103,13,8599
2016,Young,1279,7,3792,20,18603
2016,Zapata,1281,9,1772,12,14327
2016,Zavala,1588,13,1645,13,12275
2016,Unknown,,,,,
2016,Out of State,,,,,
2016,None Specified,,,,,
2015,Anderson,4315,7,8148,14,58408
2015,Andrews,943,5,1876,10,17952
2015,Angelina,8795,10,13397,15,88868
2015,Aransas,2734,11,6772,27,25302
2015,Archer,575,7,1599,18,8657
2015,Armstrong,136,7,510,26,1942
2015,Atascosa,2921,6,6850,14,48087
2015,Austin,1830,6,5268,18,29394
2015,Bailey,374,5,1034,14,7413
2015,Bandera,1581,8,5129,25,20830
2015,Bastrop,6427,8,11380,14,80082
2015,Baylor,271,7,884,24,3659
2015,Bee,3397,10,3858,12,33099
2015,Bell,26966,8,32014,10,332820
2015,Bexar,142573,8,216381,11,1897850
2015,Blanco,914,8,2541,23,10988
2015,Borden,45,7,182,28,660
2015,Bosque,1349,8,4272,24,17952
2015,Bowie,7427,8,14841,16,92594
2015,Brazoria,17719,5,37990,11,343497
2015,Brazos,9666,5,17511,8,209233
2015,Brewster,925,10,1800,20,9228
2015,Briscoe,60,4,421,26,1593
2015,Brooks,714,10,1391,19,7213
2015,Brown,2198,6,7724,20,38590
2015,Burleson,1255,7,3477,20,17458
2015,Burnet,4182,9,9573,21,45389
2015,Caldwell,3147,8,5574,14,41044
2015,Calhoun,1926,9,3704,17,22144
2015,Callahan,1143,8,2791,21,13463
2015,Cameron,25899,6,52548,13,418541
2015,Camp,900,7,2241,17,12863
2015,Carson,284,5,1047,18,5952
2015,Cass,2710,9,6652,22,30486
2015,Castro,311,4,1131,15,7549
2015,Chambers,3061,8,4386,11,38356
2015,Cherokee,3677,7,8388,16,51614
2015,Childress,647,9,1107,16,7071
2015,Clay,935,9,2121,21,10260
2015,Cochran,269,8,504,16,3189
2015,Coke,153,5,892,27,3268
2015,Coleman,513,6,2126,24,8696
2015,Collin,29598,3,88061,10,904421
2015,Collingsworth,216,7,582,19,3106
2015,Colorado,1225,6,4435,21,21046
2015,Comal,8573,7,22178,18,126054
2015,Comanche,1027,8,3148,23,13521
2015,Concho,239,6,715,17,4102
2015,Cooke,3169,8,6986,18,39082
2015,Coryell,6735,9,6485,8,76750
2015,Cottle,118,8,406,27,1503
2015,Crane,189,4,654,13,5190
2015,Crockett,151,4,710,18,3887
2015,Crosby,519,8,1217,20,6235
2015,Culberson,291,13,469,20,2319
2015,Dallam,589,8,658,9,6943
2015,Dallas,132414,5,248167,10,2551029
2015,Dawson,941,7,2022,15,13671
2015,Deaf Smith,1045,6,2188,12,18697
2015,Delta,550,10,1217,23,5299
2015,Denton,34019,4,68948,9,771688
2015,DeWitt,1557,7,4099,20,20855
2015,Dickens,237,10,528,23,2258
2015,Dimmit,1188,11,1668,15,10769
2015,Donley,272,8,824,23,3524
2015,Duval,1598,14,2133,18,11824
2015,Eastland,2167,12,3981,22,18411
2015,Ector,11663,7,15897,10,158753
2015,Edwards,90,5,518,26,1997
2015,Ellis,10554,6,19669,12,163301
2015,El Paso,59107,7,97922,12,839545
2015,Erath,1885,5,5544,14,39471
2015,Falls,1696,10,3041,18,17223
2015,Fannin,3045,9,6603,19,34231
2015,Fayette,1450,6,5933,24,25219
2015,Fisher,226,6,960,24,3963
2015,Floyd,348,6,1185,20,6031
2015,Foard,201,16,342,27,1270
2015,Fort Bend,27170,4,68062,10,702044
2015,Franklin,1259,12,2113,20,10730
2015,Freestone,1635,8,3667,18,19847
2015,Frio,1591,9,2373,13,18565
2015,Gaines,1291,7,1948,10,19735
2015,Galveston,23028,7,41971,13,322292
2015,Garza,488,7,755,11,6615
2015,Gillespie,1343,5,7114,28,25393
2015,Glasscock,8,1,241,19,1290
2015,Goliad,664,9,1714,23,7485
2015,Gonzales,2069,10,3471,17,20651
2015,Gray,1949,8,3646,16,23242
2015,Grayson,10701,8,21867,17,126409
2015,Gregg,9133,7,17934,14,124043
2015,Grimes,1774,6,4533,16,27755
2015,Guadalupe,9861,7,19759,13,149395
2015,Hale,2006,6,4540,13,34731
2015,Hall,271,8,794,24,3303
2015,Hamilton,1003,12,2079,25,8338
2015,Hansford,348,6,864,15,5698
2015,Hardeman,511,13,771,19,3963
2015,Hardin,4521,8,8752,16,55738
2015,Harris,229571,5,420825,9,4527909
2015,Harrison,4043,6,10350,15,67021
2015,Hartley,175,3,869,14,6029
2015,Haskell,836,14,1296,22,5983
2015,Hays,10719,6,20634,11,191851
2015,Hemphill,234,6,573,14,4151
2015,Henderson,7223,9,17047,21,80005
2015,Hidalgo,54917,7,86199,10,822205
2015,Hill,3033,9,7181,20,35475
2015,Hockley,1731,7,3331,14,23723
2015,Hood,3612,7,13178,24,54870
2015,Hopkins,3261,9,6536,18,36161
2015,Houston,2067,9,4724,20,23135
2015,Howard,4107,11,4789,13,37856
2015,Hudspeth,450,13,627,18,3410
2015,Hunt,8447,9,14278,16,90372
2015,Hutchinson,1936,9,3351,15,21747
2015,Irion,55,4,361,23,1537
2015,Jack,988,11,1467,16,8933
2015,Jackson,1111,7,2575,17,14965
2015,Jasper,3570,10,6695,19,35716
2015,Jeff Davis,240,11,671,31,2198
2015,Jefferson,18467,7,34596,14,255300
2015,Jim Hogg,501,10,884,17,5190
2015,Jim Wells,3333,8,6187,15,41884
2015,Johnson,9539,6,22038,14,161209
2015,Jones,2393,12,2957,15,19905
2015,Karnes,1518,10,2244,15,15034
2015,Kaufman,7903,7,14112,12,113657
2015,Kendall,2706,7,7604,19,39084
2015,Kenedy,22,5,92,21,445
2015,Kent,66,8,241,31,789
2015,Kerr,4420,9,13278,26,50864
2015,Kimble,337,8,1209,27,4464
2015,King,14,5,51,17,295
2015,Kinney,253,7,874,25,3486
2015,Kleberg,2382,8,4118,13,31225
2015,Knox,285,7,833,22,3813
2015,Lamar,3855,8,9426,19,49980
2015,Lamb,824,6,2335,17,13356
2015,Lampasas,1681,8,3810,19,20295
2015,La Salle,680,9,1177,16,7556
2015,Lavaca,1501,8,4327,22,19818
2015,Lee,1359,8,3032,18,17102
2015,Leon,1199,7,4009,23,17227
2015,Liberty,8381,10,10727,13,80287
2015,Limestone,1869,8,4204,18,23481
2015,Lipscomb,188,5,591,17,3459
2015,Live Oak,769,7,2432,21,11748
2015,Llano,1504,8,6459,33,19348
2015,Loving,6,7,20,23,87
2015,Lubbock,23155,8,36021,12,295763
2015,Lynn,520,9,955,17,5716
2015,Madison,1223,9,2129,15,14054
2015,Marion,1173,11,2541,24,10458
2015,Martin,342,6,767,14,5367
2015,Mason,193,5,1123,29,3928
2015,Matagorda,2786,8,5877,16,36932
2015,Maverick,5020,9,6809,12,57107
2015,McCulloch,655,8,1904,23,8448
2015,McLennan,15480,6,33106,14,243882
2015,McMullen,48,6,228,31,746
2015,Medina,4017,8,7583,16,48221
2015,Menard,200,9,667,30,2199
2015,Midland,9107,6,15930,10,158745
2015,Milam,2571,10,4846,20,24634
2015,Mills,322,7,1260,26,4875
2015,Mitchell,986,10,1463,15,9622
2015,Montague,1645,8,4260,22,19446
2015,Montgomery,29499,6,65390,12,529079
2015,Moore,1430,7,2283,11,21734
2015,Morris,1489,12,2720,21,12698
2015,Motley,126,11,367,31,1191
2015,Nacogdoches,5052,8,8954,14,63548
2015,Navarro,4849,10,8016,17,47908
2015,Newton,1610,11,2626,19,14051
2015,Nolan,1443,9,2713,18,15376
2015,Nueces,27503,8,47529,13,360992
2015,Ochiltree,427,4,1150,11,10737
2015,Oldham,136,6,365,17,2140
2015,Orange,7416,9,13526,16,84037
2015,Palo Pinto,2666,10,5240,19,27979
2015,Panola,2057,8,4206,17,24238
2015,Parker,7988,6,19163,15,125811
2015,Parmer,588,6,1281,13,9697
2015,Pecos,891,6,2060,13,16119
2015,Polk,5707,12,9018,19,47077
2015,Potter,8087,7,15135,12,122204
2015,Presidio,617,9,1415,21,6726
2015,Rains,1087,10,2594,23,11147
2015,Randall,6409,5,18108,14,128364
2015,Reagan,186,5,458,12,3739
2015,Real,175,5,1044,31,3364
2015,Red River,1461,11,2954,23,12770
2015,Reeves,948,6,1880,13,14686
2015,Refugio,711,10,1673,22,7475
2015,Roberts,81,8,196,21,955
2015,Robertson,1323,8,3110,19,16713
2015,Rockwall,3841,4,10512,12,89731
2015,Runnels,456,4,2296,21,10726
2015,Rusk,4251,8,8361,16,53046
2015,Sabine,975,9,3031,29,10372
2015,San Augustine,1291,15,2229,26,8631
2015,San Jacinto,2529,9,5595,20,27583
2015,San Patricio,5387,8,10037,15,67868
2015,San Saba,497,8,1311,22,5945
2015,Schleicher,158,5,561,17,3296
2015,Scurry,1128,6,2536,14,17598
2015,Shackelford,309,9,652,19,3370
2015,Shelby,1934,8,4292,17,25552
2015,Sherman,344,11,488,16,3120
2015,Smith,14228,6,34630,16,222690
2015,Somervell,505,6,1645,19,8832
2015,Starr,5794,9,7352,12,63044
2015,Stephens,694,7,1857,19,9589
2015,Sterling,57,5,261,22,1199
2015,Stonewall,127,8,428,29,1498
2015,Sutton,124,3,751,18,4221
2015,Swisher,689,9,1393,18,7576
2015,Tarrant,112461,6,207562,11,1973526
2015,Taylor,11504,8,19045,14,135587
2015,Terrell,42,4,286,28,1022
2015,Terry,1204,9,1935,15,12834
2015,Throckmorton,71,5,416,27,1556
2015,Titus,2485,8,4426,14,32731
2015,Tom Green,8673,7,17223,15,116140
2015,Travis,58251,5,98848,9,1157447
2015,Trinity,1972,14,3618,25,14429
2015,Tyler,2746,13,4467,21,21503
2015,Upshur,4234,10,7111,18,40422
2015,Upton,264,7,629,17,3645
2015,Uvalde,1893,7,4401,16,27040
2015,Val Verde,2827,6,6765,14,48649
2015,Van Zandt,4847,9,10875,20,54009
2015,Victoria,7061,8,13570,15,91894
2015,Walker,3268,5,8496,12,70407
2015,Waller,3550,8,5672,12,46782
2015,Ward,1004,8,1720,14,11914
2015,Washington,2512,7,6864,20,34373
2015,Webb,15867,6,23419,9,262486
2015,Wharton,2657,6,6719,16,41645
2015,Wheeler,331,6,1130,20,5599
2015,Wichita,10558,8,19171,15,132213
2015,Wilbarger,1362,10,2350,18,13266
2015,Willacy,2306,10,2874,13,22166
2015,Williamson,26029,5,54438,11,500485
2015,Wilson,3068,6,7237,15,47206
2015,Winkler,594,7,983,12,8062
2015,Wise,5893,9,9391,15,62467
2015,Wood,4078,9,11592,27,43677
2015,Yoakum,568,7,1055,12,8449
2015,Young,1383,7,3727,20,18571
2015,Zapata,1030,7,1727,12,14282
2015,Zavala,1359,11,1611,13,12180
2015,Unknown,,,,,
2015,Out of State,,,,,
2015,None Specified,,,,,
2014,Anderson,4329,7,7974,14,58428
2014,Andrews,905,5,1817,11,17229
2014,Angelina,8770,10,13104,15,88489
2014,Aransas,2709,11,6518,26,24851
2014,Archer,582,7,1552,18,8725
2014,Armstrong,138,7,487,25,1928
2014,Atascosa,2877,6,6625,14,47394
2014,Austin,1828,6,5131,18,29208
2014,Bailey,372,5,1026,14,7356
2014,Bandera,1586,8,4954,24,20763
2014,Bastrop,6366,8,10790,14,78891
2014,Baylor,273,7,890,24,3669
2014,Bee,3380,10,3794,12,32839
2014,Bell,26764,8,30926,9,328465
2014,Bexar,139911,8,207451,11,1860266
2014,Blanco,917,8,2405,22,10886
2014,Borden,47,7,166,25,656
2014,Bosque,1363,8,4191,23,17998
2014,Bowie,7433,8,14537,16,92584
2014,Brazoria,17423,5,36206,11,337303
2014,Brazos,9582,5,16758,8,206096
2014,Brewster,940,10,1729,19,9230
2014,Briscoe,60,4,415,26,1600
2014,Brooks,718,10,1370,19,7221
2014,Brown,2204,6,7513,20,38495
2014,Burleson,1260,7,3379,19,17414
2014,Burnet,4145,9,9305,21,44838
2014,Caldwell,3110,8,5353,13,40432
2014,Calhoun,1911,9,3638,17,21996
2014,Callahan,1147,9,2727,20,13488
2014,Cameron,25756,6,50877,12,416308
2014,Camp,893,7,2182,17,12758
2014,Carson,283,5,1051,18,5989
2014,Cass,2732,9,6495,21,30489
2014,Castro,313,4,1125,15,7637
2014,Chambers,3008,8,4208,11,37652
2014,Cherokee,3679,7,8224,16,51438
2014,Childress,644,9,1100,16,7062
2014,Clay,946,9,2089,20,10361
2014,Cochran,268,8,493,16,3165
2014,Coke,153,5,889,27,3278
2014,Coleman,520,6,2097,24,8730
2014,Collin,28777,3,82153,9,879201
2014,Collingsworth,214,7,577,19,3093
2014,Colorado,1230,6,4343,21,21009
2014,Comal,8342,7,21040,17,122263
2014,Comanche,1041,8,3105,23,13607
2014,Concho,241,6,684,17,4095
2014,Cooke,3162,8,6798,17,38942
2014,Coryell,6700,9,6348,8,76474
2014,Cottle,118,8,396,26,1501
2014,Crane,183,4,612,12,5010
2014,Crockett,151,4,672,17,3849
2014,Crosby,515,8,1189,19,6182
2014,Culberson,295,13,443,19,2330
2014,Dallam,587,9,642,9,6884
2014,Dallas,130766,5,239477,10,2514350
2014,Dawson,943,7,2025,15,13697
2014,Deaf Smith,1053,6,2171,12,18813
2014,Delta,554,10,1179,22,5281
2014,Denton,33021,4,63750,9,748901
2014,DeWitt,1547,7,4019,19,20693
2014,Dickens,241,11,517,23,2283
2014,Dimmit,1172,11,1633,15,10598
2014,Donley,274,8,812,23,3542
2014,Duval,1607,14,2100,18,11819
2014,Eastland,2182,12,3928,21,18445
2014,Ector,11336,7,15396,10,154070
2014,Edwards,92,5,504,25,1995
2014,Ellis,10376,6,18681,12,160531
2014,El Paso,58633,7,94558,11,831949
2014,Erath,1876,5,5369,14,39123
2014,Falls,1715,10,2998,17,17347
2014,Fannin,3053,9,6428,19,34147
2014,Fayette,1451,6,5796,23,25067
2014,Fisher,228,6,937,24,3952
2014,Floyd,351,6,1170,19,6090
2014,Foard,202,16,342,27,1274
2014,Fort Bend,26242,4,61946,9,677179
2014,Franklin,1261,12,2093,20,10700
2014,Freestone,1649,8,3559,18,19830
2014,Frio,1577,9,2258,12,18282
2014,Gaines,1264,7,1866,10,19269
2014,Galveston,22673,7,39953,13,315903
2014,Garza,488,7,738,11,6580
2014,Gillespie,1339,5,7003,28,25273
2014,Glasscock,8,1,219,17,1273
2014,Goliad,664,9,1640,22,7420
2014,Gonzales,2055,10,3399,17,20473
2014,Gray,1935,8,3629,16,23083
2014,Grayson,10653,9,21221,17,125302
2014,Gregg,9141,7,17608,14,123613
2014,Grimes,1777,6,4330,16,27526
2014,Guadalupe,9618,7,18794,13,145580
2014,Hale,2030,6,4515,13,35055
2014,Hall,270,8,786,24,3303
2014,Hamilton,1005,12,2092,25,8370
2014,Hansford,346,6,851,15,5669
2014,Hardeman,513,13,781,20,3983
2014,Hardin,4511,8,8473,15,55546
2014,Harris,225544,5,401583,9,4439257
2014,Harrison,4051,6,10050,15,66764
2014,Hartley,175,3,850,14,6020
2014,Haskell,835,14,1277,21,5952
2014,Hays,10346,6,18942,10,184417
2014,Hemphill,232,6,558,14,4073
2014,Henderson,7224,9,16654,21,79723
2014,Hidalgo,54091,7,82954,10,812661
2014,Hill,3047,9,6981,20,35396
2014,Hockley,1722,7,3258,14,23530
2014,Hood,3587,7,12692,23,54101
2014,Hopkins,3261,9,6322,18,35958
2014,Houston,2084,9,4722,20,23236
2014,Howard,4050,11,4732,13,37225
2014,Hudspeth,451,13,594,17,3411
2014,Hunt,8380,9,13823,15,89458
2014,Hutchinson,1944,9,3325,15,21823
2014,Irion,56,4,348,23,1546
2014,Jack,990,11,1459,16,8949
2014,Jackson,1099,7,2510,17,14777
2014,Jasper,3592,10,6515,18,35727
2014,Jeff Davis,245,11,653,30,2212
2014,Jefferson,18484,7,33848,13,254671
2014,Jim Hogg,505,10,870,17,5210
2014,Jim Wells,3334,8,6012,14,41678
