Fiscal Year,County,Adult Disabled 18-64: Population,Adult Disabled 18-64: % of Population,65 and older: Population,65 and older: % of Population,Total Population
2014,Johnson,9441,6,21179,13,159112
2014,Jones,2399,12,2936,15,19955
2014,Karnes,1518,10,2217,15,14978
2014,Kaufman,7766,7,13343,12,111494
2014,Kendall,2633,7,7180,19,37826
2014,Kenedy,21,5,89,20,439
2014,Kent,67,8,237,30,792
2014,Kerr,4417,9,13103,26,50604
2014,Kimble,343,8,1183,26,4487
2014,King,14,5,45,15,292
2014,Kinney,253,7,875,25,3499
2014,Kleberg,2399,8,4020,13,31366
2014,Knox,285,8,820,22,3786
2014,Lamar,3874,8,9164,18,49938
2014,Lamb,831,6,2314,17,13474
2014,Lampasas,1678,8,3652,18,20169
2014,La Salle,670,9,1119,15,7421
2014,Lavaca,1496,8,4276,22,19683
2014,Lee,1355,8,2950,17,17007
2014,Leon,1201,7,3924,23,17123
2014,Liberty,8330,11,10240,13,79318
2014,Limestone,1873,8,4121,18,23463
2014,Lipscomb,186,5,569,17,3425
2014,Live Oak,771,7,2379,20,11688
2014,Llano,1516,8,6355,33,19323
2014,Loving,6,7,20,23,86
2014,Lubbock,22949,8,34868,12,292195
2014,Lynn,520,9,943,16,5737
2014,Madison,1220,9,2091,15,13960
2014,Marion,1188,11,2486,24,10478
2014,Martin,334,6,727,14,5237
2014,Mason,196,5,1101,28,3949
2014,Matagorda,2800,8,5699,15,36887
2014,Maverick,4970,9,6554,12,56529
2014,McCulloch,652,8,1872,22,8393
2014,McLennan,15427,6,32262,13,242012
2014,McMullen,48,7,220,30,738
2014,Medina,3980,8,7366,15,47769
2014,Menard,205,9,653,30,2206
2014,Midland,8818,6,15648,10,153832
2014,Milam,2581,10,4746,19,24653
2014,Mills,323,7,1232,25,4879
2014,Mitchell,992,10,1409,15,9581
2014,Montague,1658,8,4211,22,19508
2014,Montgomery,28671,6,61618,12,513529
2014,Moore,1431,7,2232,10,21762
2014,Morris,1500,12,2689,21,12743
2014,Motley,127,11,361,30,1197
2014,Nacogdoches,5081,8,8633,14,63644
2014,Navarro,4860,10,7766,16,47876
2014,Newton,1618,11,2577,18,14117
2014,Nolan,1446,9,2656,17,15334
2014,Nueces,27245,8,46187,13,356712
2014,Ochiltree,422,4,1133,11,10626
2014,Oldham,133,6,345,16,2120
2014,Orange,7401,9,13099,16,83588
2014,Palo Pinto,2683,10,5101,18,28006
2014,Panola,2064,9,4104,17,24155
2014,Parker,7910,6,18173,15,123954
2014,Parmer,595,6,1263,13,9801
2014,Pecos,887,6,2006,13,15984
2014,Polk,5654,12,8909,19,46700
2014,Potter,8083,7,14697,12,121993
2014,Presidio,638,9,1411,20,6918
2014,Rains,1085,10,2541,23,11102
2014,Randall,6349,5,17438,14,126686
2014,Reagan,181,5,439,12,3655
2014,Real,176,5,1018,30,3357
2014,Red River,1470,11,2919,23,12789
2014,Reeves,936,6,1828,13,14483
2014,Refugio,713,10,1641,22,7454
2014,Roberts,81,9,189,20,946
2014,Robertson,1323,8,3056,18,16704
2014,Rockwall,3734,4,9836,11,87381
2014,Runnels,454,4,2246,21,10674
2014,Rusk,4270,8,8192,15,53097
2014,Sabine,990,9,3017,29,10462
2014,San Augustine,1307,15,2194,25,8660
2014,San Jacinto,2531,9,5366,20,27337
2014,San Patricio,5344,8,9710,14,67203
2014,San Saba,498,8,1293,22,5965
2014,Schleicher,160,5,533,16,3305
2014,Scurry,1114,6,2520,14,17441
2014,Shackelford,312,9,627,19,3356
2014,Shelby,1946,8,4210,16,25542
2014,Sherman,342,11,476,15,3096
2014,Smith,14108,6,33531,15,220076
2014,Somervell,502,6,1545,18,8744
2014,Starr,5765,9,7107,11,62651
2014,Stephens,698,7,1820,19,9583
2014,Sterling,57,5,246,21,1189
2014,Stonewall,128,9,417,28,1494
2014,Sutton,123,3,727,17,4187
2014,Swisher,691,9,1380,18,7613
2014,Tarrant,110661,6,197673,10,1940281
2014,Taylor,11481,9,18721,14,134797
2014,Terrell,42,4,264,26,1009
2014,Terry,1203,9,1915,15,12790
2014,Throckmorton,72,5,413,26,1571
2014,Titus,2484,8,4282,13,32663
2014,Tom Green,8605,7,16745,15,114841
2014,Travis,57034,5,93168,8,1130447
2014,Trinity,1988,14,3552,25,14459
2014,Tyler,2764,13,4416,20,21547
2014,Upshur,4215,10,6924,17,40201
2014,Upton,260,7,600,17,3583
2014,Uvalde,1877,7,4319,16,26870
2014,Val Verde,2835,6,6674,14,48718
2014,Van Zandt,4838,9,10621,20,53704
2014,Victoria,6973,8,13170,15,90819
2014,Walker,3271,5,8087,12,69862
2014,Waller,3493,8,5429,12,46013
2014,Ward,981,8,1681,14,11630
2014,Washington,2517,7,6711,20,34207
2014,Webb,15633,6,22581,9,259968
2014,Wharton,2667,6,6531,16,41583
2014,Wheeler,330,6,1108,20,5562
2014,Wichita,10566,8,18723,14,132009
2014,Wilbarger,1367,10,2323,17,13301
2014,Willacy,2306,10,2810,13,22154
2014,Williamson,25182,5,50681,10,484096
2014,Wilson,3021,7,6818,15,46322
2014,Winkler,577,7,956,12,7844
2014,Wise,5845,9,8957,14,61785
2014,Wood,4066,9,11345,26,43328
2014,Yoakum,561,7,1030,12,8318
2014,Young,1394,8,3659,20,18561
2014,Zapata,1029,7,1686,12,14240
2014,Zavala,1356,11,1560,13,12065
2014,Unknown,,,,,
2014,Out of State,,,,,
2014,None Specified,,,,,
2013,Anderson,4348,7,7789,13,58453
2013,Andrews,871,5,1755,11,16556
2013,Angelina,8761,10,12746,14,88085
2013,Aransas,2676,11,6283,26,24407
2013,Archer,586,7,1523,17,8794
2013,Armstrong,140,7,455,24,1919
2013,Atascosa,2834,6,6395,14,46746
2013,Austin,1822,6,4956,17,29004
2013,Bailey,368,5,1020,14,7307
2013,Bandera,1592,8,4743,23,20685
2013,Bastrop,6301,8,10223,13,77707
2013,Baylor,275,7,894,24,3674
2013,Bee,3359,10,3720,11,32579
2013,Bell,26533,8,29856,9,324039
2013,Bexar,137298,8,198789,11,1823167
2013,Blanco,915,8,2291,21,10781
2013,Borden,46,7,157,24,650
2013,Bosque,1375,8,4105,23,18034
2013,Bowie,7439,8,14177,15,92576
2013,Brazoria,17134,5,34447,10,331171
2013,Brazos,9515,5,16139,8,203284
2013,Brewster,950,10,1674,18,9222
2013,Briscoe,61,4,402,25,1602
2013,Brooks,719,10,1340,19,7219
2013,Brown,2215,6,7250,19,38399
2013,Burleson,1261,7,3294,19,17362
2013,Burnet,4119,9,8946,20,44285
2013,Caldwell,3075,8,5130,13,39806
2013,Calhoun,1905,9,3531,16,21840
2013,Callahan,1149,9,2655,20,13503
2013,Cameron,25580,6,49327,12,413943
2013,Camp,889,7,2124,17,12660
2013,Carson,285,5,1037,17,6036
2013,Cass,2753,9,6343,21,30495
2013,Castro,316,4,1125,15,7727
2013,Chambers,2953,8,4001,11,36973
2013,Cherokee,3683,7,8076,16,51282
2013,Childress,645,9,1100,16,7060
2013,Clay,957,9,2044,20,10456
2013,Cochran,267,8,476,15,3142
2013,Coke,155,5,871,27,3285
2013,Coleman,528,6,2048,23,8762
2013,Collin,27989,3,76253,9,854441
2013,Collingsworth,212,7,569,18,3076
2013,Colorado,1236,6,4257,20,20964
2013,Comal,8124,7,19941,17,118614
2013,Comanche,1058,8,3051,22,13689
2013,Concho,243,6,645,16,4088
2013,Cooke,3154,8,6593,17,38792
2013,Coryell,6669,9,6198,8,76245
2013,Cottle,118,8,388,26,1496
2013,Crane,177,4,584,12,4831
2013,Crockett,151,4,639,17,3813
2013,Crosby,516,8,1140,19,6134
2013,Culberson,298,13,422,18,2348
2013,Dallam,585,9,630,9,6821
2013,Dallas,129097,5,230991,9,2477724
2013,Dawson,944,7,2008,15,13718
2013,Deaf Smith,1061,6,2155,11,18947
2013,Delta,555,11,1143,22,5258
2013,Denton,32057,4,58932,8,726618
2013,DeWitt,1541,8,3917,19,20526
2013,Dickens,245,11,505,22,2311
2013,Dimmit,1163,11,1556,15,10420
2013,Donley,280,8,791,22,3562
2013,Duval,1615,14,2055,17,11809
2013,Eastland,2188,12,3908,21,18458
2013,Ector,11020,7,15003,10,149560
2013,Edwards,91,5,494,25,1988
2013,Ellis,10188,6,17708,11,157767
2013,El Paso,58069,7,91265,11,824296
2013,Erath,1865,5,5231,13,38792
2013,Falls,1735,10,2966,17,17479
2013,Fannin,3068,9,6216,18,34075
2013,Fayette,1451,6,5644,23,24934
2013,Fisher,229,6,924,23,3946
2013,Floyd,357,6,1155,19,6159
2013,Foard,207,16,335,26,1285
2013,Fort Bend,25311,4,56497,9,653147
2013,Franklin,1266,12,2055,19,10668
2013,Freestone,1655,8,3490,18,19823
2013,Frio,1563,9,2166,12,18006
2013,Gaines,1234,7,1778,9,18813
2013,Galveston,22308,7,38058,12,309571
2013,Garza,486,7,725,11,6541
2013,Gillespie,1332,5,6934,28,25153
2013,Glasscock,8,1,208,16,1261
2013,Goliad,667,9,1565,21,7359
2013,Gonzales,2054,10,3278,16,20306
2013,Gray,1923,8,3622,16,22924
2013,Grayson,10601,9,20651,17,124167
2013,Gregg,9136,7,17314,14,123148
2013,Grimes,1770,6,4163,15,27286
2013,Guadalupe,9373,7,17869,13,141895
2013,Hale,2048,6,4465,13,35355
2013,Hall,268,8,783,24,3306
2013,Hamilton,1014,12,2083,25,8399
2013,Hansford,346,6,826,15,5647
2013,Hardeman,516,13,786,20,4019
2013,Hardin,4502,8,8194,15,55331
2013,Harris,221473,5,383497,9,4351290
2013,Harrison,4062,6,9725,15,66482
2013,Hartley,175,3,832,14,6018
2013,Haskell,827,14,1277,22,5926
2013,Hays,9976,6,17446,10,177267
2013,Hemphill,230,6,546,14,3993
2013,Henderson,7219,9,16277,20,79425
2013,Hidalgo,53198,7,80060,10,803166
2013,Hill,3055,9,6839,19,35328
2013,Hockley,1720,7,3162,14,23349
2013,Hood,3562,7,12244,23,53357
2013,Hopkins,3263,9,6064,17,35755
2013,Houston,2097,9,4691,20,23335
2013,Howard,3990,11,4662,13,36614
2013,Hudspeth,452,13,561,16,3419
2013,Hunt,8313,9,13362,15,88570
2013,Hutchinson,1950,9,3300,15,21897
2013,Irion,56,4,332,21,1550
2013,Jack,996,11,1432,16,8969
2013,Jackson,1087,7,2478,17,14596
2013,Jasper,3608,10,6363,18,35725
2013,Jeff Davis,252,11,618,28,2228
2013,Jefferson,18471,7,33317,13,254084
2013,Jim Hogg,510,10,855,16,5230
2013,Jim Wells,3328,8,5827,14,41450
2013,Johnson,9356,6,20210,13,157027
2013,Jones,2405,12,2902,15,20009
2013,Karnes,1521,10,2185,15,14926
2013,Kaufman,7623,7,12602,12,109360
2013,Kendall,2556,7,6774,18,36647
2013,Kenedy,22,5,83,19,434
2013,Kent,67,8,238,30,799
2013,Kerr,4410,9,12875,26,50330
2013,Kimble,349,8,1146,25,4513
2013,King,14,5,43,15,289
2013,Kinney,253,7,884,25,3515
2013,Kleberg,2412,8,3946,13,31539
2013,Knox,282,7,820,22,3763
2013,Lamar,3893,8,8885,18,49910
2013,Lamb,839,6,2293,17,13598
2013,Lampasas,1671,8,3514,18,20035
2013,La Salle,662,9,1065,15,7284
2013,Lavaca,1492,8,4230,22,19562
2013,Lee,1346,8,2870,17,16906
2013,Leon,1203,7,3846,23,17021
2013,Liberty,8273,11,9785,12,78374
2013,Limestone,1875,8,4050,17,23430
2013,Lipscomb,185,5,547,16,3397
2013,Live Oak,770,7,2340,20,11632
2013,Llano,1521,8,6303,33,19319
2013,Loving,6,7,19,22,85
2013,Lubbock,22771,8,33702,12,288773
2013,Lynn,525,9,928,16,5766
2013,Madison,1222,9,2027,15,13865
2013,Marion,1198,11,2437,23,10490
2013,Martin,327,6,692,14,5122
2013,Mason,199,5,1064,27,3958
2013,Matagorda,2800,8,5583,15,36837
2013,Maverick,4896,9,6375,11,55961
2013,McCulloch,653,8,1814,22,8352
2013,McLennan,15394,6,31346,13,240212
2013,McMullen,49,7,207,28,730
2013,Medina,3948,8,7069,15,47316
2013,Menard,208,9,631,29,2209
2013,Midland,8535,6,15477,10,149190
2013,Milam,2588,10,4642,19,24657
2013,Mills,324,7,1206,25,4889
2013,Mitchell,992,10,1377,14,9537
2013,Montague,1675,9,4124,21,19549
2013,Montgomery,27864,6,57924,12,498464
2013,Moore,1430,7,2193,10,21790
2013,Morris,1515,12,2624,21,12788
2013,Motley,130,11,347,29,1199
2013,Nacogdoches,5109,8,8378,13,63845
2013,Navarro,4862,10,7520,16,47843
2013,Newton,1629,11,2498,18,14184
2013,Nolan,1447,9,2616,17,15300
2013,Nueces,26972,8,44805,13,352497
2013,Ochiltree,416,4,1114,11,10514
2013,Oldham,130,6,320,15,2107
2013,Orange,7378,9,12678,15,83138
2013,Palo Pinto,2680,10,5026,18,28019
2013,Panola,2071,9,4023,17,24063
2013,Parker,7822,6,17180,14,122108
2013,Parmer,600,6,1258,13,9913
2013,Pecos,883,6,1971,12,15863
2013,Polk,5596,12,8795,19,46336
2013,Potter,8072,7,14281,12,121780
2013,Presidio,658,9,1401,20,7120
2013,Rains,1085,10,2461,22,11053
2013,Randall,6289,5,16799,13,125035
2013,Reagan,177,5,425,12,3575
2013,Real,179,5,974,29,3340
2013,Red River,1474,12,2883,23,12807
2013,Reeves,926,6,1782,12,14292
2013,Refugio,715,10,1601,22,7421
2013,Roberts,81,9,183,20,938
2013,Robertson,1323,8,2973,18,16666
2013,Rockwall,3621,4,9202,11,85092
2013,Runnels,451,4,2208,21,10621
2013,Rusk,4291,8,8018,15,53154
2013,Sabine,999,9,3016,29,10551
2013,San Augustine,1318,15,2175,25,8709
2013,San Jacinto,2518,9,5156,19,27081
2013,San Patricio,5298,8,9385,14,66556
2013,San Saba,501,8,1280,21,5989
2013,Schleicher,163,5,506,15,3327
2013,Scurry,1108,6,2483,14,17304
2013,Shackelford,314,9,612,18,3347
2013,Shelby,1951,8,4166,16,25503
2013,Sherman,337,11,466,15,3070
2013,Smith,13955,6,32669,15,217455
2013,Somervell,500,6,1454,17,8662
2013,Starr,5707,9,6890,11,62242
2013,Stephens,701,7,1786,19,9580
2013,Sterling,58,5,228,19,1178
2013,Stonewall,131,9,394,26,1487
2013,Sutton,123,3,686,17,4155
2013,Swisher,697,9,1369,18,7662
2013,Tarrant,108834,6,188167,10,1907230
2013,Taylor,11459,9,18331,14,134004
2013,Terrell,43,4,250,25,1000
2013,Terry,1204,9,1892,15,12754
2013,Throckmorton,73,5,410,26,1582
2013,Titus,2475,8,4145,13,32570
2013,Tom Green,8519,7,16426,14,113593
2013,Travis,55776,5,88110,8,1103585
2013,Trinity,2001,14,3466,24,14482
2013,Tyler,2778,13,4370,20,21602
2013,Upshur,4199,11,6748,17,39968
2013,Upton,259,7,570,16,3519
2013,Uvalde,1863,7,4211,16,26741
2013,Val Verde,2843,6,6517,13,48767
2013,Van Zandt,4827,9,10371,19,53399
2013,Victoria,6882,8,12778,14,89755
2013,Walker,3267,5,7795,11,69367
2013,Waller,3451,8,5146,11,45249
2013,Ward,959,8,1639,14,11347
2013,Washington,2516,7,6602,19,34048
2013,Webb,15393,6,21784,8,257514
2013,Wharton,2676,6,6366,15,41515
2013,Wheeler,329,6,1085,20,5520
2013,Wichita,10572,8,18300,14,131748
2013,Wilbarger,1375,10,2280,17,13344
2013,Willacy,2314,10,2723,12,22154
2013,Williamson,24364,5,47231,10,468146
2013,Wilson,2967,7,6436,14,45454
2013,Winkler,563,7,933,12,7645
2013,Wise,5789,9,8596,14,61121
2013,Wood,4061,9,11063,26,42984
2013,Yoakum,554,7,991,12,8188
2013,Young,1394,8,3623,20,18555
2013,Zapata,1027,7,1623,11,14183
2013,Zavala,1353,11,1507,13,11960
2013,Unknown,,,,,
2013,Out of State,,,,,
2013,None Specified,,,,,
2012,Anderson,5427,9,7618,13,58457
2012,Andrews,923,6,1714,11,15919
2012,Angelina,8095,9,12443,14,87642
2012,Aransas,2379,10,6029,25,23981
2012,Archer,557,6,1496,17,8875
2012,Armstrong,109,6,426,22,1913
2012,Atascosa,4084,9,6186,13,46113
2012,Austin,1348,5,4743,16,28791
2012,Bailey,474,7,1003,14,7246
2012,Bandera,2086,10,4504,22,20612
2012,Bastrop,4704,6,9573,13,76532
2012,Baylor,312,8,910,25,3679
2012,Bee,3988,12,3576,11,32335
2012,Bell,22936,7,28766,9,319503
2012,Bexar,132741,7,190013,11,1786596
2012,Blanco,726,7,2137,20,10683
2012,Borden,25,4,144,22,646
2012,Bosque,1481,8,4009,22,18076
2012,Bowie,7960,9,13708,15,92565
2012,Brazoria,18962,6,32673,10,325104
2012,Brazos,10461,5,15348,8,200754
2012,Brewster,843,9,1627,18,9219
2012,Briscoe,85,5,391,24,1610
2012,Brooks,1176,16,1308,18,7215
2012,Brown,2472,6,7048,18,38310
2012,Burleson,1688,10,3204,19,17297
2012,Burnet,4187,10,8593,20,43762
2012,Caldwell,3636,9,4892,12,39200
2012,Calhoun,2219,10,3413,16,21685
2012,Callahan,1113,8,2573,19,13515
2012,Cameron,26024,6,47654,12,411458
2012,Camp,1253,10,2077,17,12554
2012,Carson,309,5,1038,17,6081
2012,Cass,3164,10,6149,20,30487
2012,Castro,375,5,1100,14,7827
2012,Chambers,2527,7,3743,10,36319
2012,Cherokee,3687,7,7888,15,51124
2012,Childress,589,8,1088,15,7048
2012,Clay,973,9,1989,19,10555
2012,Cochran,282,9,471,15,3130
2012,Coke,130,4,862,26,3288
2012,Coleman,606,7,1986,23,8802
2012,Collin,25428,3,70271,8,830057
2012,Collingsworth,255,8,557,18,3060
2012,Colorado,1368,7,4175,20,20920
2012,Comal,7015,6,18755,16,115105
2012,Comanche,1157,8,3002,22,13771
2012,Concho,452,11,603,15,4087
2012,Cooke,2916,8,6448,17,38668
2012,Coryell,5692,7,5991,8,75967
2012,Cottle,125,8,380,25,1500
2012,Crane,315,7,553,12,4669
2012,Crockett,159,4,606,16,3774
2012,Crosby,564,9,1098,18,6097
2012,Culberson,235,10,398,17,2362
2012,Dallam,441,7,619,9,6765
2012,Dallas,123086,5,221964,9,2441092
2012,Dawson,1034,8,1972,14,13749
2012,Deaf Smith,987,5,2157,11,19069
2012,Delta,540,10,1107,21,5247
2012,Denton,30875,4,54002,8,704794
2012,DeWitt,1713,8,3834,19,20365
2012,Dickens,231,10,488,21,2345
2012,Dimmit,1220,12,1519,15,10267
2012,Donley,248,7,783,22,3582
2012,Duval,1679,14,2004,17,11794
2012,Eastland,1855,10,3810,21,18485
2012,Ector,11195,8,14610,10,145200
2012,Edwards,125,6,468,24,1988
2012,Ellis,10750,7,16659,11,155008
2012,El Paso,52419,6,87841,11,816533
2012,Erath,2356,6,5054,13,38485
2012,Falls,1864,11,2929,17,17595
2012,Fannin,3512,10,6055,18,34015
2012,Fayette,1363,5,5532,22,24802
2012,Fisher,252,6,905,23,3951
2012,Floyd,269,4,1152,18,6239
2012,Foard,247,19,324,25,1297
2012,Fort Bend,22595,4,51279,8,629845
2012,Franklin,1046,10,2027,19,10643
2012,Freestone,1576,8,3413,17,19813
2012,Frio,2092,12,2081,12,17726
2012,Gaines,939,5,1694,9,18371
2012,Galveston,19595,6,36007,12,303340
2012,Garza,816,13,717,11,6509
2012,Gillespie,1515,6,6839,27,25054
2012,Glasscock,34,3,189,15,1247
2012,Goliad,717,10,1499,21,7303
2012,Gonzales,1744,9,3198,16,20141
2012,Gray,1368,6,3608,16,22772
2012,Grayson,9238,8,20001,16,123056
2012,Gregg,10360,8,16971,14,122663
2012,Grimes,2202,8,3962,15,27048
2012,Guadalupe,9164,7,16956,12,138339
2012,Hale,2110,6,4427,12,35644
2012,Hall,158,5,777,23,3308
2012,Hamilton,664,8,2091,25,8441
2012,Hansford,353,6,815,14,5623
2012,Hardeman,463,11,795,20,4049
2012,Hardin,5236,10,7871,14,55104
2012,Harris,215378,5,364498,9,4264024
2012,Harrison,4731,7,9346,14,66193
2012,Hartley,265,4,803,13,6032
2012,Haskell,642,11,1262,21,5901
2012,Hays,9879,6,15913,9,170350
2012,Hemphill,228,6,529,13,3924
2012,Henderson,8022,10,15793,20,79101
2012,Hidalgo,57458,7,77170,10,793694
2012,Hill,3165,9,6682,19,35249
2012,Hockley,1440,6,3082,13,23197
2012,Hood,3498,7,11767,22,52621
2012,Hopkins,3007,8,5848,16,35550
2012,Houston,2864,12,4646,20,23460
2012,Howard,4451,12,4645,13,36031
2012,Hudspeth,416,12,529,15,3434
2012,Hunt,7748,9,12845,15,87702
2012,Hutchinson,1528,7,3254,15,21976
2012,Irion,58,4,307,20,1562
2012,Jack,990,11,1398,16,8990
2012,Jackson,1001,7,2427,17,14406
2012,Jasper,3408,10,6192,17,35708
2012,Jeff Davis,309,14,584,26,2255
2012,Jefferson,20221,8,32600,13,253540
2012,Jim Hogg,508,10,848,16,5248
2012,Jim Wells,4570,11,5668,14,41253
2012,Johnson,9717,6,19108,12,154957
2012,Jones,2245,11,2828,14,20070
2012,Karnes,1906,13,2122,14,14873
2012,Kaufman,7323,7,11876,11,107309
2012,Kendall,1909,5,6350,18,35529
2012,Kenedy,0,0,77,18,428
2012,Kent,54,7,220,27,802
2012,Kerr,3755,8,12628,25,50065
2012,Kimble,441,10,1111,24,4539
2012,King,37,13,41,14,286
2012,Kinney,317,9,880,25,3539
2012,Kleberg,2365,7,3868,12,31731
2012,Knox,341,9,812,22,3741
2012,Lamar,4877,10,8713,17,49856
2012,Lamb,750,5,2281,17,13723
2012,Lampasas,1578,8,3341,17,19910
2012,La Salle,1072,15,1001,14,7144
2012,Lavaca,1394,7,4153,21,19441
2012,Lee,1065,6,2772,16,16801
2012,Leon,1346,8,3747,22,16938
2012,Liberty,9057,12,9314,12,77429
2012,Limestone,2172,9,3911,17,23401
2012,Lipscomb,172,5,513,15,3363
2012,Live Oak,1087,9,2309,20,11583
2012,Llano,1610,8,6205,32,19321
2012,Loving,3,4,19,23,84
2012,Lubbock,21485,8,32540,11,285467
2012,Lynn,471,8,933,16,5796
2012,Madison,762,6,1970,14,13781
2012,Marion,1368,13,2373,23,10504
2012,Martin,426,9,657,13,5003
2012,Mason,268,7,1045,26,3973
2012,Matagorda,3101,8,5438,15,36778
2012,Maverick,4226,8,6152,11,55377
2012,McCulloch,656,8,1753,21,8328
2012,McLennan,16229,7,30463,13,238430
2012,McMullen,104,14,202,28,722
2012,Medina,3810,8,6732,14,46886
2012,Menard,271,12,618,28,2217
2012,Midland,10162,7,15296,11,144819
2012,Milam,2794,11,4521,18,24668
2012,Mills,228,5,1187,24,4896
2012,Mitchell,1041,11,1327,14,9493
2012,Montague,1627,8,4030,21,19597
2012,Montgomery,27082,6,53857,11,483845
2012,Moore,1187,5,2149,10,21819
2012,Morris,1717,13,2564,20,12835
2012,Motley,98,8,346,29,1204
2012,Nacogdoches,5269,8,8076,13,64067
2012,Navarro,4483,9,7265,15,47806
2012,Newton,1263,9,2445,17,14259
2012,Nolan,1242,8,2577,17,15261
2012,Nueces,33456,10,43258,12,348369
2012,Ochiltree,465,4,1084,10,10408
2012,Oldham,209,10,292,14,2087
2012,Orange,8859,11,12176,15,82680
2012,Palo Pinto,2304,8,4847,17,28036
2012,Panola,2564,11,3922,16,23967
2012,Parker,8852,7,16016,13,120311
2012,Parmer,433,4,1232,12,10023
2012,Pecos,847,5,1922,12,15743
2012,Polk,6353,14,8704,19,46009
2012,Potter,7923,7,13844,11,121542
2012,Presidio,852,12,1392,19,7331
2012,Rains,1040,9,2370,22,11001
2012,Randall,5912,5,16102,13,123484
2012,Reagan,131,4,400,11,3493
2012,Real,151,5,929,28,3320
2012,Red River,1554,12,2833,22,12827
2012,Reeves,1318,9,1738,12,14117
2012,Refugio,816,11,1530,21,7390
2012,Roberts,48,5,168,18,932
2012,Robertson,1508,9,2905,17,16641
2012,Rockwall,3142,4,8596,10,82800
2012,Runnels,505,5,2154,20,10568
2012,Rusk,4187,8,7817,15,53206
2012,Sabine,1092,10,2988,28,10651
2012,San Augustine,1260,14,2137,24,8755
2012,San Jacinto,2200,8,4958,18,26822
2012,San Patricio,5995,9,9007,14,65965
2012,San Saba,671,11,1244,21,6023
2012,Schleicher,176,5,488,15,3361
2012,Scurry,1141,7,2442,14,17171
2012,Shackelford,224,7,597,18,3350
2012,Shelby,2804,11,4077,16,25470
2012,Sherman,171,6,447,15,3047
2012,Smith,14283,7,31566,15,214859
2012,Somervell,626,7,1365,16,8601
2012,Starr,6273,10,6672,11,61813
2012,Stephens,730,8,1769,18,9584
2012,Sterling,52,4,213,18,1166
2012,Stonewall,62,4,384,26,1486
2012,Sutton,128,3,650,16,4134
2012,Swisher,522,7,1350,18,7708
2012,Tarrant,105200,6,177872,9,1874438
2012,Taylor,10525,8,17919,13,133187
2012,Terrell,55,6,231,23,990
2012,Terry,1183,9,1861,15,12716
2012,Throckmorton,127,8,402,25,1598
2012,Titus,3201,10,3964,12,32491
2012,Tom Green,7868,7,15947,14,112365
2012,Travis,54813,5,82871,8,1076898
2012,Trinity,1619,11,3387,23,14513
2012,Tyler,2385,11,4289,20,21650
2012,Upshur,4459,11,6521,16,39734
2012,Upton,266,8,543,16,3460
2012,Uvalde,2142,8,4099,15,26611
2012,Val Verde,2398,5,6323,13,48808
2012,Van Zandt,5212,10,10017,19,53121
2012,Victoria,7488,8,12374,14,88690
2012,Walker,4143,6,7493,11,68915
2012,Waller,2825,6,4863,11,44519
2012,Ward,911,8,1598,14,11094
2012,Washington,2281,7,6459,19,33927
2012,Webb,16790,7,20849,8,255096
2012,Wharton,2765,7,6222,15,41444
2012,Wheeler,260,5,1051,19,5482
2012,Wichita,9804,7,17839,14,131488
2012,Wilbarger,1297,10,2196,16,13381
2012,Willacy,2001,9,2694,12,22149
2012,Williamson,23596,5,43686,10,452627
2012,Wilson,3526,8,6073,14,44597
2012,Winkler,631,8,902,12,7448
2012,Wise,4917,8,8126,13,60447
2012,Wood,4370,10,10726,25,42643
2012,Yoakum,610,8,964,12,8077
2012,Young,1550,8,3535,19,18533
2012,Zapata,1337,9,1562,11,14124
2012,Zavala,1285,11,1469,12,11864
2012,Unknown,,,,,
2012,Out of State,,,,,
2012,None Specified,,,,,
