Fiscal Year,County,Region,Children in DFPS Responsibility
2021,Anderson,4-Tyler,185
2021,Andrews,9-Midland,44
2021,Angelina,5-Beaumont,203
2021,Aransas,11-Edinburg,98
2021,Archer,2-Abilene,12
2021,Atascosa,8-San Antonio,230
2021,Austin,6-Houston,27
2021,Bailey,1-Lubbock,36
2021,Bandera,8-San Antonio,53
2021,Bastrop,7-Austin,219
2021,Baylor,2-Abilene,24
2021,Bee,11-Edinburg,120
2021,Bell,7-Austin,1802
2021,Bexar,8-San Antonio,4858
2021,Blanco,7-Austin,20
2021,Bosque,7-Austin,78
2021,Bowie,4-Tyler,148
2021,Brazoria,6-Houston,301
2021,Brazos,7-Austin,308
2021,Brewster,10-El Paso,5
2021,Briscoe,1-Lubbock,4
2021,Brooks,11-Edinburg,40
2021,Brown,2-Abilene,288
2021,Burleson,7-Austin,76
2021,Burnet,7-Austin,190
2021,Caldwell,7-Austin,140
2021,Calhoun,8-San Antonio,45
2021,Callahan,2-Abilene,47
2021,Cameron,11-Edinburg,600
2021,Camp,4-Tyler,41
2021,Carson,1-Lubbock,14
2021,Cass,4-Tyler,74
2021,Castro,1-Lubbock,16
2021,Chambers,6-Houston,33
2021,Cherokee,4-Tyler,212
2021,Childress,1-Lubbock,26
2021,Clay,2-Abilene,25
2021,Cochran,1-Lubbock,9
2021,Coke,9-Midland,6
2021,Coleman,2-Abilene,41
2021,Collin,3-Arlington,458
2021,Collingsworth,1-Lubbock,14
2021,Colorado,6-Houston,19
2021,Comal,8-San Antonio,306
2021,Comanche,2-Abilene,36
2021,Concho,9-Midland,8
2021,Cooke,3-Arlington,120
2021,Coryell,7-Austin,346
2021,Cottle,2-Abilene,7
2021,Crane,9-Midland,8
2021,Crockett,9-Midland,13
2021,Crosby,1-Lubbock,24
2021,Culberson,10-El Paso,5
2021,Dallam,1-Lubbock,50
2021,Dallas,3-Arlington,3329
2021,Dawson,9-Midland,35
2021,DeWitt,8-San Antonio,42
2021,Deaf Smith,1-Lubbock,40
2021,Delta,4-Tyler,7
2021,Denton,3-Arlington,934
2021,Dickens,1-Lubbock,6
2021,Dimmit,8-San Antonio,45
2021,Donley,1-Lubbock,13
2021,Duval,11-Edinburg,59
2021,Eastland,2-Abilene,74
2021,Ector,9-Midland,435
2021,El Paso,10-El Paso,598
2021,Ellis,3-Arlington,79
2021,Erath,3-Arlington,58
2021,Falls,7-Austin,78
2021,Fannin,3-Arlington,105
2021,Fayette,7-Austin,68
2021,Fisher,2-Abilene,15
2021,Floyd,1-Lubbock,7
2021,Foard,2-Abilene,7
2021,Fort Bend,6-Houston,179
2021,Franklin,4-Tyler,28
2021,Freestone,7-Austin,51
2021,Frio,8-San Antonio,99
2021,Gaines,9-Midland,27
2021,Galveston,6-Houston,517
2021,Garza,1-Lubbock,17
2021,Gillespie,8-San Antonio,27
2021,Goliad,8-San Antonio,15
2021,Gonzales,8-San Antonio,26
2021,Gray,1-Lubbock,129
2021,Grayson,3-Arlington,282
2021,Gregg,4-Tyler,484
2021,Grimes,7-Austin,52
2021,Guadalupe,8-San Antonio,112
2021,Hale,1-Lubbock,91
2021,Hall,1-Lubbock,20
2021,Hamilton,7-Austin,21
2021,Hansford,1-Lubbock,4
2021,Hardeman,2-Abilene,6
2021,Hardin,5-Beaumont,172
2021,Harris,6-Houston,3640
2021,Harrison,4-Tyler,157
2021,Hartley,1-Lubbock,9
2021,Haskell,2-Abilene,38
2021,Hays,7-Austin,482
2021,Hemphill,1-Lubbock,1
2021,Henderson,4-Tyler,362
2021,Hidalgo,11-Edinburg,654
2021,Hill,7-Austin,142
2021,Hockley,1-Lubbock,83
2021,Hood,3-Arlington,112
2021,Hopkins,4-Tyler,102
2021,Houston,5-Beaumont,49
2021,Howard,9-Midland,106
2021,Hudspeth,10-El Paso,1
2021,Hunt,3-Arlington,283
2021,Hutchinson,1-Lubbock,97
2021,Irion,9-Midland,8
2021,Jack,2-Abilene,17
2021,Jackson,8-San Antonio,37
2021,Jasper,5-Beaumont,99
2021,Jeff Davis,10-El Paso,2
2021,Jefferson,5-Beaumont,538
2021,Jim Hogg,11-Edinburg,15
2021,Jim Wells,11-Edinburg,124
2021,Johnson,3-Arlington,257
2021,Jones,2-Abilene,81
2021,Karnes,8-San Antonio,44
2021,Kaufman,3-Arlington,186
2021,Kendall,8-San Antonio,27
2021,Kerr,8-San Antonio,95
2021,Kimble,9-Midland,9
2021,Kinney,8-San Antonio,11
2021,Kleberg,11-Edinburg,74
2021,Knox,2-Abilene,8
2021,La Salle,8-San Antonio,20
2021,Lamar,4-Tyler,199
2021,Lamb,1-Lubbock,31
2021,Lampasas,7-Austin,121
2021,Lavaca,8-San Antonio,25
2021,Lee,7-Austin,52
2021,Leon,7-Austin,32
2021,Liberty,6-Houston,180
2021,Limestone,7-Austin,73
2021,Lipscomb,1-Lubbock,7
2021,Live Oak,11-Edinburg,12
2021,Llano,7-Austin,140
2021,Lubbock,1-Lubbock,1030
2021,Lynn,1-Lubbock,16
2021,Madison,7-Austin,28
2021,Marion,4-Tyler,40
2021,Martin,9-Midland,12
2021,Mason,9-Midland,11
2021,Matagorda,6-Houston,87
2021,Maverick,8-San Antonio,58
2021,McCulloch,9-Midland,44
2021,McLennan,7-Austin,1232
2021,Medina,8-San Antonio,122
2021,Menard,9-Midland,10
2021,Midland,9-Midland,178
2021,Milam,7-Austin,114
2021,Mills,7-Austin,16
2021,Mitchell,2-Abilene,36
2021,Montague,2-Abilene,69
2021,Montgomery,6-Houston,586
2021,Moore,1-Lubbock,67
2021,Morris,4-Tyler,47
2021,Nacogdoches,5-Beaumont,234
2021,Navarro,3-Arlington,79
2021,Newton,5-Beaumont,21
2021,Nolan,2-Abilene,104
2021,Nueces,11-Edinburg,840
2021,Ochiltree,1-Lubbock,25
2021,Orange,5-Beaumont,262
2021,Palo Pinto,3-Arlington,156
2021,Panola,4-Tyler,75
2021,Parker,3-Arlington,253
2021,Parmer,1-Lubbock,8
2021,Pecos,9-Midland,68
2021,Polk,5-Beaumont,110
2021,Potter,1-Lubbock,551
2021,Presidio,10-El Paso,1
2021,Rains,4-Tyler,37
2021,Randall,1-Lubbock,256
2021,Reagan,9-Midland,1
2021,Real,8-San Antonio,8
2021,Red River,4-Tyler,31
2021,Reeves,9-Midland,36
2021,Refugio,11-Edinburg,28
2021,Robertson,7-Austin,96
2021,Rockwall,3-Arlington,111
2021,Runnels,2-Abilene,28
2021,Rusk,4-Tyler,139
2021,Sabine,5-Beaumont,33
2021,San Augustine,5-Beaumont,23
2021,San Jacinto,5-Beaumont,47
2021,San Patricio,11-Edinburg,136
2021,San Saba,7-Austin,27
2021,Schleicher,9-Midland,7
2021,Scurry,2-Abilene,69
2021,Shackelford,2-Abilene,9
2021,Shelby,5-Beaumont,57
2021,Sherman,1-Lubbock,6
2021,Smith,4-Tyler,564
2021,Somervell,3-Arlington,18
2021,Starr,11-Edinburg,86
2021,Stephens,2-Abilene,31
2021,Sterling,9-Midland,1
2021,Stonewall,2-Abilene,3
2021,Sutton,9-Midland,16
2021,Swisher,1-Lubbock,31
2021,Tarrant,3-Arlington,2044
2021,Taylor,2-Abilene,757
2021,Terry,1-Lubbock,36
2021,Throckmorton,2-Abilene,5
2021,Titus,4-Tyler,57
2021,Tom Green,9-Midland,533
2021,Travis,7-Austin,1613
2021,Trinity,5-Beaumont,40
2021,Tyler,5-Beaumont,49
2021,Upshur,4-Tyler,152
2021,Upton,9-Midland,9
2021,Uvalde,8-San Antonio,58
2021,Val Verde,8-San Antonio,59
2021,Van Zandt,4-Tyler,211
2021,Victoria,8-San Antonio,195
2021,Walker,6-Houston,52
2021,Waller,6-Houston,39
2021,Ward,9-Midland,68
2021,Washington,7-Austin,66
2021,Webb,11-Edinburg,457
2021,Wharton,6-Houston,50
2021,Wheeler,1-Lubbock,8
2021,Wichita,2-Abilene,463
2021,Wilbarger,2-Abilene,56
2021,Willacy,11-Edinburg,50
2021,Williamson,7-Austin,347
2021,Wilson,8-San Antonio,80
2021,Winkler,9-Midland,28
2021,Wise,3-Arlington,157
2021,Wood,4-Tyler,102
2021,Yoakum,1-Lubbock,10
2021,Young,2-Abilene,63
2021,Zapata,11-Edinburg,39
2021,Zavala,8-San Antonio,45
2020,Anderson,4-Tyler,230
2020,Andrews,9-Midland,48
2020,Angelina,5-Beaumont,235
2020,Aransas,11-Edinburg,114
2020,Archer,2-Abilene,17
2020,Atascosa,8-San Antonio,217
2020,Austin,6-Houston,18
2020,Bailey,1-Lubbock,45
2020,Bandera,8-San Antonio,46
2020,Bastrop,7-Austin,243
2020,Baylor,2-Abilene,20
2020,Bee,11-Edinburg,97
2020,Bell,7-Austin,1679
2020,Bexar,8-San Antonio,4990
2020,Blanco,7-Austin,29
2020,Borden,9-Midland,3
2020,Bosque,7-Austin,80
2020,Bowie,4-Tyler,171
2020,Brazoria,6-Houston,329
2020,Brazos,7-Austin,209
2020,Brewster,10-El Paso,9
2020,Briscoe,1-Lubbock,4
2020,Brooks,11-Edinburg,26
2020,Brown,2-Abilene,278
2020,Burleson,7-Austin,90
2020,Burnet,7-Austin,239
2020,Caldwell,7-Austin,146
2020,Calhoun,8-San Antonio,53
2020,Callahan,2-Abilene,36
2020,Cameron,11-Edinburg,630
2020,Camp,4-Tyler,47
2020,Carson,1-Lubbock,19
2020,Cass,4-Tyler,57
2020,Castro,1-Lubbock,14
2020,Chambers,6-Houston,29
2020,Cherokee,4-Tyler,210
2020,Childress,1-Lubbock,25
2020,Clay,2-Abilene,18
2020,Cochran,1-Lubbock,8
2020,Coke,9-Midland,14
2020,Coleman,2-Abilene,41
2020,Collin,3-Arlington,504
2020,Collingsworth,1-Lubbock,19
2020,Colorado,6-Houston,12
2020,Comal,8-San Antonio,288
2020,Comanche,2-Abilene,40
2020,Concho,9-Midland,12
2020,Cooke,3-Arlington,156
2020,Coryell,7-Austin,355
2020,Cottle,2-Abilene,4
2020,Crane,9-Midland,7
2020,Crockett,9-Midland,25
2020,Crosby,1-Lubbock,32
2020,Culberson,10-El Paso,3
2020,Dallam,1-Lubbock,47
2020,Dallas,3-Arlington,3768
2020,Dawson,9-Midland,44
2020,DeWitt,8-San Antonio,29
2020,Deaf Smith,1-Lubbock,41
2020,Delta,4-Tyler,13
2020,Denton,3-Arlington,1010
2020,Dickens,1-Lubbock,1
2020,Dimmit,8-San Antonio,43
2020,Donley,1-Lubbock,15
2020,Duval,11-Edinburg,51
2020,Eastland,2-Abilene,47
2020,Ector,9-Midland,409
2020,El Paso,10-El Paso,584
2020,Ellis,3-Arlington,107
2020,Erath,3-Arlington,47
2020,Falls,7-Austin,93
2020,Fannin,3-Arlington,125
2020,Fayette,7-Austin,54
2020,Fisher,2-Abilene,6
2020,Floyd,1-Lubbock,12
2020,Foard,2-Abilene,5
2020,Fort Bend,6-Houston,232
2020,Franklin,4-Tyler,31
2020,Freestone,7-Austin,62
2020,Frio,8-San Antonio,103
2020,Gaines,9-Midland,51
2020,Galveston,6-Houston,456
2020,Garza,1-Lubbock,17
2020,Gillespie,8-San Antonio,18
2020,Goliad,8-San Antonio,14
2020,Gonzales,8-San Antonio,29
2020,Gray,1-Lubbock,88
2020,Grayson,3-Arlington,279
2020,Gregg,4-Tyler,484
2020,Grimes,7-Austin,47
2020,Guadalupe,8-San Antonio,178
2020,Hale,1-Lubbock,94
2020,Hall,1-Lubbock,16
2020,Hamilton,7-Austin,24
2020,Hansford,1-Lubbock,4
2020,Hardeman,2-Abilene,1
2020,Hardin,5-Beaumont,187
2020,Harris,6-Houston,4072
2020,Harrison,4-Tyler,161
2020,Hartley,1-Lubbock,7
2020,Haskell,2-Abilene,18
2020,Hays,7-Austin,500
2020,Hemphill,1-Lubbock,2
2020,Henderson,4-Tyler,432
2020,Hidalgo,11-Edinburg,874
2020,Hill,7-Austin,114
2020,Hockley,1-Lubbock,104
2020,Hood,3-Arlington,103
2020,Hopkins,4-Tyler,103
2020,Houston,5-Beaumont,69
2020,Howard,9-Midland,133
2020,Hudspeth,10-El Paso,1
2020,Hunt,3-Arlington,327
2020,Hutchinson,1-Lubbock,73
2020,Irion,9-Midland,9
2020,Jack,2-Abilene,26
2020,Jackson,8-San Antonio,35
2020,Jasper,5-Beaumont,104
2020,Jeff Davis,10-El Paso,2
2020,Jefferson,5-Beaumont,483
2020,Jim Hogg,11-Edinburg,20
2020,Jim Wells,11-Edinburg,109
2020,Johnson,3-Arlington,279
2020,Jones,2-Abilene,86
2020,Karnes,8-San Antonio,51
2020,Kaufman,3-Arlington,176
2020,Kendall,8-San Antonio,31
2020,Kerr,8-San Antonio,88
2020,Kimble,9-Midland,13
2020,Kinney,8-San Antonio,12
2020,Kleberg,11-Edinburg,58
2020,Knox,2-Abilene,3
2020,La Salle,8-San Antonio,10
2020,Lamar,4-Tyler,193
2020,Lamb,1-Lubbock,38
2020,Lampasas,7-Austin,121
2020,Lavaca,8-San Antonio,20
2020,Lee,7-Austin,55
2020,Leon,7-Austin,22
2020,Liberty,6-Houston,160
2020,Limestone,7-Austin,68
2020,Lipscomb,1-Lubbock,7
2020,Live Oak,11-Edinburg,15
2020,Llano,7-Austin,107
2020,Lubbock,1-Lubbock,1143
2020,Lynn,1-Lubbock,10
2020,Madison,7-Austin,18
2020,Marion,4-Tyler,37
2020,Martin,9-Midland,12
2020,Mason,9-Midland,12
2020,Matagorda,6-Houston,117
2020,Maverick,8-San Antonio,36
2020,McCulloch,9-Midland,36
2020,McLennan,7-Austin,1241
2020,McMullen,11-Edinburg,2
2020,Medina,8-San Antonio,147
2020,Menard,9-Midland,11
2020,Midland,9-Midland,219
2020,Milam,7-Austin,90
2020,Mills,7-Austin,26
2020,Mitchell,2-Abilene,47
2020,Montague,2-Abilene,63
2020,Montgomery,6-Houston,633
2020,Moore,1-Lubbock,49
2020,Morris,4-Tyler,49
2020,Motley,1-Lubbock,4
2020,Nacogdoches,5-Beaumont,280
2020,Navarro,3-Arlington,73
2020,Newton,5-Beaumont,20
2020,Nolan,2-Abilene,84
2020,Nueces,11-Edinburg,776
2020,Ochiltree,1-Lubbock,31
2020,Oldham,1-Lubbock,6
2020,Orange,5-Beaumont,283
2020,Palo Pinto,3-Arlington,143
2020,Panola,4-Tyler,70
2020,Parker,3-Arlington,247
2020,Parmer,1-Lubbock,15
2020,Pecos,9-Midland,67
2020,Polk,5-Beaumont,103
2020,Potter,1-Lubbock,587
2020,Presidio,10-El Paso,1
2020,Rains,4-Tyler,34
2020,Randall,1-Lubbock,284
2020,Reagan,9-Midland,9
2020,Real,8-San Antonio,7
2020,Red River,4-Tyler,38
2020,Reeves,9-Midland,33
2020,Refugio,11-Edinburg,26
2020,Robertson,7-Austin,85
2020,Rockwall,3-Arlington,123
2020,Runnels,2-Abilene,28
2020,Rusk,4-Tyler,154
2020,Sabine,5-Beaumont,18
2020,San Augustine,5-Beaumont,19
2020,San Jacinto,5-Beaumont,52
2020,San Patricio,11-Edinburg,159
2020,San Saba,7-Austin,27
2020,Schleicher,9-Midland,8
2020,Scurry,2-Abilene,63
2020,Shackelford,2-Abilene,4
2020,Shelby,5-Beaumont,71
2020,Sherman,1-Lubbock,6
2020,Smith,4-Tyler,501
2020,Somervell,3-Arlington,16
2020,Starr,11-Edinburg,89
2020,Stephens,2-Abilene,31
2020,Sterling,9-Midland,1
2020,Stonewall,2-Abilene,1
2020,Sutton,9-Midland,16
2020,Swisher,1-Lubbock,36
2020,Tarrant,3-Arlington,2048
2020,Taylor,2-Abilene,858
2020,Terry,1-Lubbock,45
2020,Throckmorton,2-Abilene,7
2020,Titus,4-Tyler,92
2020,Tom Green,9-Midland,547
2020,Travis,7-Austin,1813
2020,Trinity,5-Beaumont,40
2020,Tyler,5-Beaumont,87
2020,Upshur,4-Tyler,183
2020,Upton,9-Midland,11
2020,Uvalde,8-San Antonio,76
2020,Val Verde,8-San Antonio,55
2020,Van Zandt,4-Tyler,207
2020,Victoria,8-San Antonio,214
2020,Walker,6-Houston,67
2020,Waller,6-Houston,70
2020,Ward,9-Midland,77
2020,Washington,7-Austin,58
2020,Webb,11-Edinburg,443
2020,Wharton,6-Houston,62
2020,Wheeler,1-Lubbock,4
2020,Wichita,2-Abilene,411
2020,Wilbarger,2-Abilene,42
2020,Willacy,11-Edinburg,70
2020,Williamson,7-Austin,389
2020,Wilson,8-San Antonio,82
2020,Winkler,9-Midland,36
2020,Wise,3-Arlington,133
2020,Wood,4-Tyler,100
2020,Yoakum,1-Lubbock,14
2020,Young,2-Abilene,65
2020,Zapata,11-Edinburg,24
2020,Zavala,8-San Antonio,26
2019,Anderson,4-Tyler,250
2019,Andrews,9-Midland,74
2019,Angelina,5-Beaumont,257
2019,Aransas,11-Edinburg,148
2019,Archer,2-Abilene,12
2019,Armstrong,1-Lubbock,1
2019,Atascosa,8-San Antonio,197
2019,Austin,6-Houston,11
2019,Bailey,1-Lubbock,34
2019,Bandera,8-San Antonio,49
2019,Bastrop,7-Austin,232
2019,Baylor,2-Abilene,12
2019,Bee,11-Edinburg,162
2019,Bell,7-Austin,1647
2019,Bexar,8-San Antonio,5341
2019,Blanco,7-Austin,34
2019,Borden,9-Midland,4
2019,Bosque,7-Austin,80
2019,Bowie,4-Tyler,182
2019,Brazoria,6-Houston,356
2019,Brazos,7-Austin,203
2019,Brewster,10-El Paso,5
2019,Briscoe,1-Lubbock,3
2019,Brooks,11-Edinburg,24
2019,Brown,2-Abilene,264
2019,Burleson,7-Austin,79
2019,Burnet,7-Austin,231
2019,Caldwell,7-Austin,135
2019,Calhoun,8-San Antonio,52
2019,Callahan,2-Abilene,27
2019,Cameron,11-Edinburg,692
2019,Camp,4-Tyler,50
2019,Carson,1-Lubbock,26
2019,Cass,4-Tyler,56
2019,Castro,1-Lubbock,17
2019,Chambers,6-Houston,58
2019,Cherokee,4-Tyler,220
2019,Childress,1-Lubbock,29
2019,Clay,2-Abilene,24
2019,Cochran,1-Lubbock,9
2019,Coke,9-Midland,20
2019,Coleman,2-Abilene,52
2019,Collin,3-Arlington,603
2019,Collingsworth,1-Lubbock,10
2019,Colorado,6-Houston,17
2019,Comal,8-San Antonio,330
2019,Comanche,2-Abilene,42
2019,Concho,9-Midland,6
2019,Cooke,3-Arlington,196
2019,Coryell,7-Austin,377
2019,Cottle,2-Abilene,2
2019,Crane,9-Midland,8
2019,Crockett,9-Midland,28
2019,Crosby,1-Lubbock,28
2019,Culberson,10-El Paso,1
2019,Dallam,1-Lubbock,34
2019,Dallas,3-Arlington,4568
2019,Dawson,9-Midland,54
2019,DeWitt,8-San Antonio,36
2019,Deaf Smith,1-Lubbock,57
2019,Delta,4-Tyler,18
2019,Denton,3-Arlington,1064
2019,Dickens,1-Lubbock,4
2019,Dimmit,8-San Antonio,38
2019,Donley,1-Lubbock,16
2019,Duval,11-Edinburg,48
2019,Eastland,2-Abilene,46
2019,Ector,9-Midland,387
2019,Edwards,8-San Antonio,1
2019,El Paso,10-El Paso,594
2019,Ellis,3-Arlington,120
2019,Erath,3-Arlington,39
2019,Falls,7-Austin,77
2019,Fannin,3-Arlington,107
2019,Fayette,7-Austin,44
2019,Fisher,2-Abilene,9
2019,Floyd,1-Lubbock,21
2019,Foard,2-Abilene,4
2019,Fort Bend,6-Houston,267
2019,Franklin,4-Tyler,29
2019,Freestone,7-Austin,56
2019,Frio,8-San Antonio,92
2019,Gaines,9-Midland,49
2019,Galveston,6-Houston,446
2019,Garza,1-Lubbock,24
2019,Gillespie,8-San Antonio,20
2019,Glasscock,9-Midland,4
2019,Goliad,8-San Antonio,10
2019,Gonzales,8-San Antonio,27
2019,Gray,1-Lubbock,89
2019,Grayson,3-Arlington,308
2019,Gregg,4-Tyler,507
2019,Grimes,7-Austin,59
2019,Guadalupe,8-San Antonio,225
2019,Hale,1-Lubbock,94
2019,Hall,1-Lubbock,15
2019,Hamilton,7-Austin,23
2019,Hansford,1-Lubbock,2
2019,Hardeman,2-Abilene,2
2019,Hardin,5-Beaumont,170
2019,Harris,6-Houston,4892
2019,Harrison,4-Tyler,183
2019,Hartley,1-Lubbock,3
2019,Haskell,2-Abilene,21
2019,Hays,7-Austin,490
2019,Hemphill,1-Lubbock,4
2019,Henderson,4-Tyler,408
2019,Hidalgo,11-Edinburg,1126
2019,Hill,7-Austin,145
2019,Hockley,1-Lubbock,117
2019,Hood,3-Arlington,145
2019,Hopkins,4-Tyler,105
2019,Houston,5-Beaumont,102
2019,Howard,9-Midland,103
2019,Hudspeth,10-El Paso,3
2019,Hunt,3-Arlington,359
2019,Hutchinson,1-Lubbock,70
2019,Irion,9-Midland,9
2019,Jack,2-Abilene,22
