County	2020 Total Population	2020 LCSW Total	Ratio of 2020 Population to LCSW	Ratio of LCSWs to 100,000 Population	Rank
Anderson	58,199	3	19,399.7	5.2	125
Andrews	22,269	0	-	0.0	146
Angelina	90,437	12	7,536.4	13.3	85
Aransas	27,699	4	6,924.8	14.4	75
Archer	8,344	0	-	0.0	146
Armstrong	1,948	0	-	0.0	146
Atascosa	51,831	2	25,915.5	3.9	136
Austin	30,402	0	-	0.0	146
Bailey	7,692	0	-	0.0	146
Bandera	21,246	3	7,082.0	14.1	79
Bastrop	86,105	24	3,587.7	27.9	24
Baylor	3,624	0	-	0.0	146
Bee	34,445	1	34,445.0	2.9	143
Bell	353,629	204	1,733.5	57.7	6
Bexar	2,093,502	730	2,867.8	34.9	19
Blanco	11,504	2	5,752.0	17.4	51
Borden	685	0	-	0.0	146
Bosque	17,765	1	17,765.0	5.6	120
Bowie	92,570	16	5,785.6	17.3	53
Brazoria	375,869	65	5,782.6	17.3	52
Brazos	229,410	24	9,558.8	10.5	99
Brewster	9,133	1	9,133.0	10.9	97
Briscoe	1,568	0	-	0.0	146
Brooks	7,175	0	-	0.0	146
Brown	38,923	7	5,560.4	18.0	48
Burleson	17,718	0	-	0.0	146
Burnet	48,196	10	4,819.6	20.7	41
Caldwell	44,284	13	3,406.5	29.4	22
Calhoun	22,840	2	11,420.0	8.8	109
Callahan	13,456	2	6,728.0	14.9	72
Cameron	427,881	52	8,228.5	12.2	91
Camp	13,322	0	-	0.0	146
Carson	5,799	0	-	0.0	146
Cass	30,327	4	7,581.8	13.2	86
Castro	7,103	0	-	0.0	146
Chambers	42,320	2	21,160.0	4.7	129
Cherokee	52,178	9	5,797.6	17.2	54
Childress	7,062	1	7,062.0	14.2	78
Clay	9,787	0	-	0.0	146
Cochran	3,348	0	-	0.0	146
Coke	3,215	0	-	0.0	146
Coleman	8,478	0	-	0.0	146
Collin	1,039,369	276	3,765.8	26.6	29
Collingsworth	3,210	0	-	0.0	146
Colorado	21,273	1	21,273.0	4.7	130
Comal	147,330	52	2,833.3	35.3	16
Comanche	13,075	1	13,075.0	7.6	111
Concho	4,147	0	-	0.0	146
Cooke	39,727	3	13,242.3	7.6	112
Coryell	78,317	34	2,303.4	43.4	9
Cottle	1,510	0	-	0.0	146
Crane	6,209	0	-	0.0	146
Crockett	4,040	0	-	0.0	146
Crosby	6,464	0	-	0.0	146
Culberson	2,245	1	2,245.0	44.5	8
Dallam	7,237	0	-	0.0	146
Dallas	2,734,111	972	2,812.9	35.6	15
Dawson	13,592	2	6,796.0	14.7	73
De Witt	21,737	3	7,245.7	13.8	81
Deaf Smith	18,143	1	18,143.0	5.5	121
Delta	5,367	0	-	0.0	146
Denton	897,953	211	4,255.7	23.5	34
Dickens	2,174	0	-	0.0	146
Dimmit	11,743	0	-	0.0	146
Donley	3,410	0	-	0.0	146
Duval	11,796	0	-	0.0	146
Eastland	18,205	0	-	0.0	146
Ector	184,841	9	20,537.9	4.9	127
Edwards	1,991	0	-	0.0	146
El Paso	876,120	190	4,611.2	21.7	37
Ellis	177,721	28	6,347.2	15.8	65
Erath	41,526	5	8,305.2	12.0	93
Falls	16,603	4	4,150.8	24.1	31
Fannin	34,597	15	2,306.5	43.4	10
Fayette	26,086	0	-	0.0	146
Fisher	3,985	0	-	0.0	146
Floyd	5,786	0	-	0.0	146
Foard	1,240	0	-	0.0	146
Fort Bend	840,383	175	4,802.2	20.8	39
Franklin	10,924	1	10,924.0	9.2	105
Freestone	19,860	0	-	0.0	146
Frio	20,023	2	10,011.5	10.0	102
Gaines	22,121	0	-	0.0	146
Galveston	355,196	71	5,002.8	20.0	42
Garza	6,784	0	-	0.0	146
Gillespie	26,191	5	5,238.2	19.1	43
Glasscock	1,365	0	-	0.0	146
Goliad	7,717	1	7,717.0	13.0	87
Gonzales	21,347	1	21,347.0	4.7	132
Gray	24,252	1	24,252.0	4.1	133
Grayson	131,710	21	6,271.9	15.9	63
Gregg	125,730	35	3,592.3	27.8	25
Grimes	28,930	1	28,930.0	3.5	140
Guadalupe	170,266	47	3,622.7	27.6	26
Hale	33,202	3	11,067.3	9.0	106
Hall	3,305	0	-	0.0	146
Hamilton	8,220	1	8,220.0	12.2	90
Hansford	5,820	0	-	0.0	146
Hardeman	3,870	3	1,290.0	77.5	4
Hardin	56,486	2	28,243.0	3.5	138
Harris	4,978,845	1,722	2,891.3	34.6	20
Harrison	68,247	6	11,374.5	8.8	108
Hartley	6,067	1	6,067.0	16.5	59
Haskell	6,197	1	6,197.0	16.1	61
Hays	234,896	88	2,669.3	37.5	13
Hemphill	4,644	0	-	0.0	146
Henderson	81,179	17	4,775.2	20.9	38
Hidalgo	870,366	84	10,361.5	9.7	103
Hill	35,673	6	5,945.5	16.8	56
Hockley	24,636	1	24,636.0	4.1	135
Hood	58,643	9	6,515.9	15.3	67
Hopkins	37,040	7	5,291.4	18.9	44
Houston	22,620	4	5,655.0	17.7	49
Howard	41,236	9	4,581.8	21.8	36
Hudspeth	3,400	0	-	0.0	146
Hunt	95,324	18	5,295.8	18.9	45
Hutchinson	21,461	0	-	0.0	146
Irion	1,508	0	-	0.0	146
Jack	8,841	0	-	0.0	146
Jackson	15,899	0	-	0.0	146
Jasper	35,525	0	-	0.0	146
Jeff Davis	2,113	0	-	0.0	146
Jefferson	258,678	29	8,919.9	11.2	96
Jim Hogg	5,077	0	-	0.0	146
Jim Wells	42,890	1	42,890.0	2.3	145
Johnson	171,701	30	5,723.4	17.5	50
Jones	19,735	0	-	0.0	146
Karnes	15,393	0	-	0.0	146
Kaufman	125,134	29	4,315.0	23.2	35
Kendall	46,278	7	6,611.1	15.1	71
Kenedy	476	0	-	0.0	146
Kent	795	0	-	0.0	146
Kerr	52,267	24	2,177.8	45.9	7
Kimble	4,344	0	-	0.0	146
King	309	0	-	0.0	146
Kinney	3,462	0	-	0.0	146
Kleberg	30,987	1	30,987.0	3.2	142
Knox	3,937	0	-	0.0	146
La Salle	8,309	0	-	0.0	146
Lamar	50,014	12	4,167.8	24.0	32
Lamb	12,776	0	-	0.0	146
Lampasas	21,037	5	4,207.4	23.8	33
Lavaca	20,735	1	20,735.0	4.8	128
Lee	17,595	0	-	0.0	146
Leon	17,707	0	-	0.0	146
Liberty	85,284	4	21,321.0	4.7	131
Limestone	23,544	0	-	0.0	146
Lipscomb	3,651	0	-	0.0	146
Live Oak	12,030	0	-	0.0	146
Llano	19,452	1	19,452.0	5.1	126
Loving	92	0	-	0.0	146
Lubbock	317,210	66	4,806.2	20.8	40
Lynn	5,588	0	-	0.0	146
Madison	14,527	0	-	0.0	146
Marion	10,294	0	-	0.0	146
Martin	6,044	0	-	0.0	146
Mason	3,899	0	-	0.0	146
Matagorda	37,064	2	18,532.0	5.4	123
Maverick	59,938	2	29,969.0	3.3	141
McCulloch	8,660	0	-	0.0	146
McLennan	253,066	173	1,462.8	68.4	5
McMullen	783	0	-	0.0	146
Medina	50,594	7	7,227.7	13.8	80
Menard	2,188	0	-	0.0	146
Midland	187,364	19	9,861.3	10.1	101
Milam	24,635	1	24,635.0	4.1	134
Mills	4,870	2	2,435.0	41.1	11
Mitchell	9,865	0	-	0.0	146
Montague	19,199	1	19,199.0	5.2	124
Montgomery	613,951	93	6,601.6	15.1	70
Moore	21,575	0	-	0.0	146
Morris	12,448	1	12,448.0	8.0	110
Motley	1,172	0	-	0.0	146
Nacogdoches	64,106	23	2,787.2	35.9	14
Navarro	47,985	7	6,855.0	14.6	74
Newton	13,724	1	13,724.0	7.3	113
Nolan	15,642	1	15,642.0	6.4	117
Nueces	383,718	62	6,189.0	16.2	60
Ochiltree	11,309	0	-	0.0	146
Oldham	2,200	2	1,100.0	90.9	3
Orange	86,155	3	28,718.3	3.5	139
Palo Pinto	27,859	4	6,964.8	14.4	76
Panola	24,576	3	8,192.0	12.2	89
Parker	135,621	14	9,687.2	10.3	100
Parmer	9,200	0	-	0.0	146
Pecos	16,533	0	-	0.0	146
Polk	49,080	6	8,180.0	12.2	88
Potter	122,706	43	2,853.6	35.0	18
Presidio	5,906	1	5,906.0	16.9	55
Rains	11,378	0	-	0.0	146
Randall	138,104	21	6,576.4	15.2	68
Reagan	4,226	0	-	0.0	146
Real	3,407	1	3,407.0	29.4	23
Red River	12,610	2	6,305.0	15.9	64
Reeves	15,707	1	15,707.0	6.4	118
Refugio	7,573	0	-	0.0	146
Roberts	983	0	-	0.0	146
Robertson	16,888	1	16,888.0	5.9	119
Rockwall	102,243	28	3,651.5	27.4	27
Runnels	11,009	2	5,504.5	18.2	47
Rusk	52,767	0	-	0.0	146
Sabine	9,936	0	-	0.0	146
San Augustine	8,405	0	-	0.0	146
San Jacinto	28,844	2	14,422.0	6.9	115
San Patricio	71,325	5	14,265.0	7.0	114
San Saba	5,873	0	-	0.0	146
Schleicher	3,312	0	-	0.0	146
Scurry	18,368	1	18,368.0	5.4	122
Shackelford	3,405	0	-	0.0	146
Shelby	25,545	3	8,515.0	11.7	94
Sherman	3,276	0	-	0.0	146
Smith	235,143	44	5,344.2	18.7	46
Somervell	9,294	0	-	0.0	146
Starr	64,731	0	-	0.0	146
Stephens	9,570	0	-	0.0	146
Sterling	1,252	0	-	0.0	146
Stonewall	1,523	0	-	0.0	146
Sutton	4,381	0	-	0.0	146
Swisher	7,414	1	7,414.0	13.5	84
Tarrant	2,143,755	754	2,843.2	35.2	17
Taylor	139,457	35	3,984.5	25.1	30
Terrell	1,054	0	-	0.0	146
Terry	13,040	0	-	0.0	146
Throckmorton	1,519	0	-	0.0	146
Titus	32,953	4	8,238.3	12.1	92
Tom Green	123,276	33	3,735.6	26.8	28
Travis	1,291,502	1,451	890.1	112.3	1
Trinity	14,233	0	-	0.0	146
Tyler	21,343	0	-	0.0	146
Upshur	41,655	4	10,413.8	9.6	104
Upton	3,983	0	-	0.0	146
Uvalde	27,937	1	27,937.0	3.6	137
Val Verde	48,253	8	6,031.6	16.6	58
Van Zandt	55,469	5	11,093.8	9.0	107
Victoria	97,744	14	6,981.7	14.3	77
Walker	73,997	8	9,249.6	10.8	98
Waller	50,731	7	7,247.3	13.8	82
Ward	13,592	0	-	0.0	146
Washington	35,155	4	8,788.8	11.4	95
Webb	276,183	8	34,522.9	2.9	144
Wharton	41,941	7	5,991.6	16.7	57
Wheeler	5,783	0	-	0.0	146
Wichita	133,138	42	3,170.0	31.5	21
Wilbarger	13,038	12	1,086.5	92.0	2
Willacy	22,134	3	7,378.0	13.6	83
Williamson	589,914	237	2,489.1	40.2	12
Wilson	51,802	8	6,475.3	15.4	66
Winkler	9,295	0	-	0.0	146
Wise	65,807	10	6,580.7	15.2	69
Wood	45,292	3	15,097.3	6.6	116
Yoakum	9,225	0	-	0.0	146
Young	18,712	3	6,237.3	16.0	62
Zapata	14,409	0	-	0.0	146
Zavala	12,682	0	-	0.0	146
Texas Total	29,677,668	8,799	3,372.8	29.6	- 